"CatchFishes_Description", "釣{TargetAmount}條魚"
"CookXGrainMeals_Description", "烹製以穀物為主原料的食譜！"
"CookXGrainMeals_Title", "烹製以穀物為主原料的餐食"
"CookXMeals_Description", "在小米的餐廳的廚房烹製餐食！"
"CookXMeals_Title", "烹製餐食"
"CookXMeals1Star_Description", "在廚房烹製1星餐食！"
"CookXMeals1Star_Title", "烹製1星或更高星級的餐食"
"CookXMeals2Star_Description", "在廚房烹製2星餐食！"
"CookXMeals2Star_Title", "烹製2星或更高星級的餐食"
"CookXMeals3Star_Description", "在廚房烹製3星餐食！"
"CookXMeals3Star_Title", "烹製3星或更高星級的餐食"
"CookXMeals4Star_Description", "在廚房烹製4星餐食！"
"CookXMeals4Star_Title", "烹製4星或更高星級的餐食"
"CookXMeals5Star_Description", "在廚房烹製5星餐食！"
"CookXMeals5Star_Title", "烹製5星餐食"
"CookXSeafoodMeals_Description", "烹製以海鮮為主原料的食譜！"
"CookXSeafoodMeals_Title", "烹製以海鮮為主原料的餐食"
"CookXSpiceMeals_Description", "使用香料按照食譜烹製！"
"CookXSpiceMeals_Title", "使用香料烹製"
"CookXVegetableMeals_Description", "烹製以蔬菜為主原料的食譜！"
"CookXVegetableMeals_Title", "烹製以蔬菜為主原料的餐食"
"ExpandHouseXTimes_Description", "給你的小屋增加更多空間！"
"ExpandHouseXTimes_Title", "給你的小屋增加空間"
"FeedBeachCritter_Description", "給炫麗海灘的動物餵食！"
"FeedBeachCritter_Title", "給海龜餵食"
"FeedCliffsCritter_Description", "給霜寒高地的動物餵食！"
"FeedCliffsCritter_Title", "給狐貍餵食"
"FeedCritter_Description", "給動物餵食"
"FeedDarkMountainsCritter_Description", "給遺忘之地的動物餵食！"
"FeedDarkMountainsCritter_Title", "給烏鴉餵食"
"FeedFavoriteFoodBeachCritter_Description", "給炫麗海灘的動物餵食它們最喜歡的食物！"
"FeedFavoriteFoodBeachCritter_Title", "給海龜餵食它們最喜歡的食物！"
"FeedFavoriteFoodCliffsCritter_Description", "給霜寒高地的動物餵食它們最喜歡的食物！"
"FeedFavoriteFoodCliffsCritter_Title", "給狐貍餵食它們最喜歡的食物"
"FeedFavoriteFoodDarkMountainsCritter_Description", "給遺忘之地的動物餵食它們最喜歡的食物！"
"FeedFavoriteFoodDarkMountainsCritter_Title", "給烏鴉餵食它們最喜歡的食物"
"FeedFavoriteFoodForestCritter_Description", "給森林區域的動物們餵食它們最喜歡的食物！"
"FeedFavoriteFoodForestCritter_Title", "給浣熊餵食它們最喜歡的食物"
"FeedFavoriteFoodMeadowCritter_Description", "給寧靜草地的動物餵食它們最喜歡的食物！"
"FeedFavoriteFoodMeadowCritter_Title", "給兔子餵食它們最喜歡的食物"
"FeedFavoriteFoodSavannahCritter_Description", "給日照高原的動物餵食它們最喜歡的食物！"
"FeedFavoriteFoodSavannahCritter_Title", "給太陽鳥餵食它們最喜歡的食物"
"FeedFavoriteFoodSwampCritter_Description", "給信仰林地的動物餵食它們最喜歡的食物！"
"FeedFavoriteFoodSwampCritter_Title", "給鱷魚餵食它們最喜歡的食物"
"FeedFavoriteFoodUrbanCritter_Description", "給廣場的動物餵食它們最喜歡的食物！"
"FeedFavoriteFoodUrbanCritter_Title", "給松鼠餵食它們最喜歡的食物"
"FeedForestCritter_Description", "給森林的動物餵食！"
"FeedForestCritter_Title", "給浣熊餵食"
"FeedMeadowCritter_Description", "給寧靜草地的動物餵食！"
"FeedMeadowCritter_Title", "給兔子餵食"
"FeedSavannahCritter_Description", "給日照高原的動物餵食！"
"FeedSavannahCritter_Title", "給太陽鳥餵食"
"FeedSwampCritter_Description", "給信仰林地的動物餵食！"
"FeedSwampCritter_Title", "給鱷魚餵食"
"FeedUrbanCritter_Description", "給廣場的動物餵食！"
"FeedUrbanCritter_Title", "給松鼠餵食"
"GainStarCoins_Description", "獲取{TargetAmount}枚星幣"
"GainXAmountOfStarCoins_Description", "在星谷中進行各種活動以獲得星幣！"
"GainXAmountOfStarCoins_Title", "獲取星幣"
"GatherSpices_Description", "收穫{TargetAmount}個香料"
"GatherXBasil_Description", "在星谷中收穫羅勒！"
"GatherXBasil_Title", "收穫羅勒"
"GatherXGarlic_Description", "在星谷中收穫大蒜！"
"GatherXGarlic_Title", "收穫大蒜"
"GatherXGinger_Description", "在星谷中收穫薑！"
"GatherXGinger_Title", "收穫薑"
"GatherXMint_Description", "在星谷中收穫薄荷！"
"GatherXMint_Title", "收穫薄荷"
"GatherXOregano_Description", "在星谷中收穫奧勒岡！"
"GatherXOregano_Title", "收穫奧勒岡"
"GatherXVanilla_Description", "在星谷中收穫香草！"
"GatherXVanilla_Title", "收穫香草"
"GiveFavoriteGift_Description", "給一位朋友帶去對方最喜歡的禮物"
"GiveGifts_Description", "送出{TargetAmount}份禮物"
"GiveXFavoriteGifts_Description", "給你的朋友送去對方最喜歡的禮物！"
"GiveXFavoriteGifts_Title", "給朋友送去對方最喜歡的禮物！"
"GiveXGifts_Description", "給你的朋友送禮物！"
"GiveXGifts_Title", "送禮物！"
"GiveXGiftsDifferentCharacters_Description", "給不同的朋友送去禮物！"
"GiveXGiftsDifferentCharacters_Title", "給朋友送禮物"
"Halloween_Halloween3CourseMeal_Description", "{Placeholder}Sample All 3 Halloween Exclusive Candies."
"Halloween_Halloween3CourseMeal_Title", "3道菜的萬聖節大餐！"
"Halloween_ReadyForHalloween_Description", "{Placeholder}Wear a mask."
"Halloween_ReadyForHalloween_Title", "壞蛋都戴面具"
"Halloween_StockpilePumpkins_Description", "{Placeholder}Harvest 100 Pumpkins."
"Halloween_StockpilePumpkins_Title", "儲備南瓜"
"Halloween_SugarRush_Description", "{Placeholder}Eat a lot of Candies!"
"Halloween_SugarRush_Title", "糖果大作戰"
"Halloween_TrickOrTreat_Description", "{Placeholder}Distribute Candies to Villagers!"
"Halloween_TrickOrTreat_Title", "不給糖就搗蛋"
"HarvestFruits_Description", "收穫{TargetAmount}個水果"
"HarvestVegetables_Description", "收穫{TargetAmount}份蔬菜"
"HarvestXTypesOfVegetables_Description", "在你的花園中收穫各種蔬菜！"
"HarvestXTypesOfVegetables_Title", "收穫不同的蔬菜"
"HarvestXVegetables_Description", "在你的花園中收穫大量蔬菜！"
"HarvestXVegetables_Title", "收穫蔬菜"
"HarvestXVegetablesInMeadow_Description", "在寧靜草地收穫多個蔬菜！"
"HarvestXVegetablesInMeadow_Title", "在寧靜草地收穫蔬菜"
"Have10FriendsAtLevelX_Description", "有10名好友達到指定友誼等級！"
"Have10FriendsAtLevelX_Title", "有10名好友達到指定等級"
"Have1FriendAtLevelX_Description", "有1名好友達到指定友誼等級！"
"Have1FriendAtLevelX_Title", "有1名好友達到指定等級"
"Have20FriendsAtLevelX_Description", "有20名好友達到指定友誼等級！"
"Have20FriendsAtLevelX_Title", "有20名好友達到指定等級"
"Have5FriendsAtLevelX_Description", "有5名好友達到指定友誼等級！"
"Have5FriendsAtLevelX_Title", "有5名好友達到指定等級"
"MakeXBestFriends_Description", "在星谷中擁有多名密友！"
"MakeXBestFriends_Title", "擁有密友"
"MakeXFriends_Description", "在星谷擁有多名好友！"
"MakeXFriends_Title", "結交好友"
"MineMineral_Description", "挖掘{TargetAmount}塊礦石"
"MineRockSpot_Description", "開採{TargetAmount}個岩石場"
"MineXAlexandrite_Description", "在星谷中挖掘出多塊變石！"
"MineXAlexandrite_Title", "挖掘變石"
"MineXAmethyst_Description", "在星谷中挖掘出多塊紫水晶！"
"MineXAmethyst_Title", "挖掘紫水晶"
"MineXAquamarine_Description", "在星谷中挖掘出多塊海藍寶石！"
"MineXAquamarine_Title", "挖掘海藍寶石"
"MineXBlueZircon_Description", "在星谷中挖掘出多塊藍鋯石！"
"MineXBlueZircon_Title", "挖掘藍鋯石"
"MineXCitrine_Description", "在星谷中挖掘出多塊黃水晶！"
"MineXCitrine_Title", "挖掘黃水晶"
"MineXDiamond_Description", "在星谷中挖掘出多塊鑽石！"
"MineXDiamond_Title", "挖掘鑽石"
"MineXEmerald_Description", "在星谷中挖掘出多塊綠寶石！"
"MineXEmerald_Title", "挖掘綠寶石"
"MineXGarnet_Description", "在星谷中挖掘出多塊石榴石！"
"MineXGarnet_Title", "挖掘石榴石"
"MineXMineral_Description", "在星谷中挖掘出多塊礦石！"
"MineXMineral_Title", "挖掘礦石"
"MineXOnyx_Description", "在星谷挖掘多塊縞瑪瑙！"
"MineXOnyx_Title", "挖掘縞瑪瑙"
"MineXPeridot_Description", "在星谷挖掘多塊橄欖石！"
"MineXPeridot_Title", "挖掘橄欖石"
"MineXRuby_Description", "在星谷挖掘多塊紅寶石！"
"MineXRuby_Title", "挖掘紅寶石"
"MineXSapphire_Description", "在星谷挖掘多塊藍寶石！"
"MineXSapphire_Title", "挖掘藍寶石"
"MineXTopaz_Description", "在星谷挖掘多塊黃晶！"
"MineXTopaz_Title", "挖掘黃晶"
"MineXTourmaline_Description", "在星谷挖掘多塊電氣石！"
"MineXTourmaline_Title", "挖掘電氣石"
"ParticipateDesignChallenge_Description", "參與設計挑戰"
"PickMushrooms_Description", "採摘{TargetAmount}個蘑菇"
"PickupXMushroom_Description", "在星谷收穫一些蘑菇！"
"PickupXMushroom_Title", "收穫蘑菇"
"PickXApples_Description", "在星谷收穫一些蘋果！"
"PickXApples_Title", "收穫蘋果"
"PickXBanana_Description", "從星谷的樹上收穫香蕉！"
"PickXBanana_Title", "收穫香蕉"
"PickXBlueberries_Description", "從星谷的灌木叢裡採摘藍莓！"
"PickXBlueberries_Title", "收穫藍莓"
"PickXCherries_Description", "從星谷的樹上收穫櫻桃！"
"PickXCherries_Title", "收穫櫻桃"
"PickXCocoa_Description", "從星谷的樹上收穫可可豆！"
"PickXCocoa_Title", "收穫可可豆"
"PickXGooseberries_Description", "從星谷的灌木叢裡採摘醋栗！"
"PickXGooseberries_Title", "收穫醋栗"
"PickXLemons_Description", "從星谷的樹上收穫檸檬！"
"PickXLemons_Title", "收穫檸檬"
"PickXLimes_Description", "從星谷的樹上收穫萊姆！"
"PickXLimes_Title", "收穫萊姆"
"PickXRaspberries_Description", "從星谷的灌木叢裡採摘樹莓！"
"PickXRaspberries_Title", "收穫樹莓"
"PickXStrawberries_Description", "從星谷的草叢裡採摘草莓！"
"PickXStrawberries_Title", "收穫草莓"
"PickXTypesOfFruits_Description", "在星谷中收穫各種水果！"
"PickXTypesOfFruits_Title", "收穫不同的水果"
"PlantSpecificCrops_Description", "種植{TargetAmount}{ItemName}"
"PlantVegetables_Description", "種植{TargetAmount}種蔬菜"
"PlantXVegetables_Description", "在星谷種植多種蔬菜！"
"PlantXVegetables_Title", "種植蔬菜"
"PurchaseXBeachSeeds_Description", "前往炫麗海灘的高飛貨攤購買種子！"
"PurchaseXBeachSeeds_Title", "從炫麗海灘購買種子"
"PurchaseXDarkMountainsSeeds_Description", "前往遺忘之地的高飛貨攤購買種子！"
"PurchaseXDarkMountainsSeeds_Title", "從遺忘之地購買種子"
"PurchaseXForestSeeds_Description", "前往勇氣森林的高飛貨攤購買種子！"
"PurchaseXForestSeeds_Title", "從勇氣森林購買種子"
"PurchaseXMeadowSeeds_Description", "前往寧靜草地的高飛貨攤購買種子！"
"PurchaseXMeadowSeeds_Title", "從寧靜草地購買種子"
"PurchaseXSavannahSeeds_Description", "前往日照高原的高飛貨攤購買種子！"
"PurchaseXSavannahSeeds_Title", "從日照高原購買種子"
"PurchaseXSnowCliffsSeeds_Description", "前往霜寒高地的高飛貨攤購買種子！"
"PurchaseXSnowCliffsSeeds_Title", "從霜寒高地購買種子"
"PurchaseXSwampSeeds_Description", "前往信仰林地的高飛貨攤購買種子！"
"PurchaseXSwampSeeds_Title", "在信仰林地購買種子"
"RemoveNightThorns_Description", "清除{TargetAmount}叢暗夜荊棘"
"RemoveXNightThorns_Description", "清除星谷的暗夜荊棘！"
"RemoveXNightThorns_Title", "清除小型暗夜荊棘"
"RepairXHouseForYourFriends_Description", "修理多個房屋以邀請好友前來星谷！"
"RepairXHouseForYourFriends_Title", "修理房屋"
"SellFishes_Description", "出售{TargetAmount}條魚"
"SellFruits_Description", "出售{TargetAmount}個水果"
"SellGems_Description", "出售{TargetAmount}塊礦石"
"SellMeals_Description", "出售{TargetAmount}份餐食"
"SellVegetables_Description", "出售{TargetAmount}份蔬菜"
"SellXFish_Description", "出售釣到的魚以獲取星幣！"
"SellXFish_Title", "出售魚"
"SellXFruits_Description", "出售收穫的水果以獲取星幣！"
"SellXFruits_Title", "出售水果"
"SellXMeals_Description", "出售餐食以獲取星幣！"
"SellXMeals_Title", "出售餐食"
"SellXMineral_Description", "向高飛出售超多礦石！"
"SellXMineral_Title", "出售寶石"
"SellXVegetables_Description", "出售你的蔬菜以換取星幣！"
"SellXVegetables_Title", "出售蔬菜"
"ServeCustomerInRestaurant_Description", "在餐廳裡呈上餐食。"
"StartDiscussions_Description", "進行日常對話。"
"StartXDiscussions_Description", "與好友開始日常對話！"
"StartXDiscussions_Title", "進行日常對話！"
"StartXDiscussionsDifferentCharacters_Description", "與不同的好友開始對話！"
"StartXDiscussionsDifferentCharacters_Title", "與不同的好友進行對話！"
"TakePictures_Description", "拍照。"
"TakeXPictures_Description", "在星谷中拍張照片！"
"TakeXPictures_Title", "拍照"
"UnlockAreas_Description", "清除巨型暗夜荊棘並解鎖新的區域！"
"UnlockAreas_Title", "清除各區域的巨型暗夜荊棘"
"UnlockStalls_Description", "修理多個貨攤，以便讓高飛向你出售更多物品！"
"UnlockStalls_Title", "修理貨攤"
"UpgradeGarden_Description", "請史高治和高飛幫忙升級花園！"
"UpgradeGarden_Title", "升級瓦力的花園"
"UpgradeGeneralStore_Description", "請史高治和高飛幫忙升級雜貨店！"
"UpgradeGeneralStore_Title", "升級史高治的商店"
"UpgradeMoanaBoat_Description", "請史高治和高飛幫忙升級莫阿娜的船！"
"UpgradeMoanaBoat_Title", "升級莫阿娜的船"
"UpgradePlayerHouse_Description", "請史高治和高飛幫忙升級你的小屋！"
"UpgradePlayerHouse_Title", "升級你的小屋"
"UpgradeRestaurant_Description", "請史高治和高飛幫忙升級餐廳！"
"UpgradeRestaurant_Title", "升級小米的餐廳"
"WaterFlowers_Description", "給{TargetAmount}株乾枯的花澆水"
"WaterXVegetables_Description", "用灑水壺給星谷裡乾枯的蔬菜澆水！"
"WaterXVegetables_Title", "給乾枯的蔬菜澆水"
