"choose_role", "選擇{characterName}的交際獎勵："
"building_required_player_level", "需要玩家等級"
"cannot_add_floor_need_upgrade", "你需要升級小屋來增加更多樓層。"
"cannot_add_room_need_upgrade", "你需要升級小屋來增加更多房間。"
"stall_convert", "轉換"
"stall_dispenser_free", "免費"
"stall_hire", "僱用"
"stall_my_inventory", "我的物品欄"
"stall_refresh_stocks", "重新整理<br>庫存"
"stall_sell", "出售"
"stall_sell_daily_cap", "每日上限<br>{current,D}/{cap,D}"
"stall_upgrade", "升級到{lvl}級！"
"stall_upgrade_maxed", "滿級！"
"stall_upgrade_unlock_lvl", "解鎖等級{lvl}"
"bundle_belle_desc", "幫助交友"
"bundle_belle_sub_title", "內含……"
"bundle_belle_title", "「古老傳說」禮包"
"bundle_belle_value", "價值提升50%！"
"button_common_remove_all", "全部移除"
"button_exit", "退出"
"button_save_exit", "儲存並退出"
"catalog_character_house", "{characterName}的小屋"
"catalog_close_panel", "關閉面板"
"catalog_draw_line", "畫線條"
"catalog_exit_title", "退出目錄"
"catalog_filters", "篩選條件："
"catalog_indoor_item_lock", "僅限室內"
"catalog_no_items", "沒有符合條件的物品。和史高治談談，他也許有你的需要的東西。"
"catalog_outdoor_item_lock", "僅限室外"
"catalog_rotate_camera", "旋轉鏡頭"
"catalog_rotate_item", "旋轉物品"
"catalog_trait_calm", "冷靜"
"catalog_trait_delicate", "嬌弱"
"catalog_trait_familiar", "熟悉"
"catalog_trait_lavish", "慷慨"
"catalog_trait_playful", "頑皮"
"catalog_trait_simple", "單純"
"catalog_trait_strong", "強壯"
"catalog_trait_wondrous", "奇妙"
"catalog_zoom_in_out", "放大/縮小"
"menu.catalog_not_placeable_item_lock", "無法放置在此處！"
"save_and_exit", "儲存並退出"
"village_object_limit_reached", "你已達到村莊物品上限。"
"catalog_category_appliance", "電器"
"catalog_category_art", "藝術品"
"catalog_category_bed", "床"
"catalog_category_decor", "裝飾品"
"catalog_category_door", "門"
"catalog_category_electronic", "電子裝置"
"catalog_category_essential", "必需品"
"catalog_category_floor", "地板"
"catalog_category_foliage", "植物"
"catalog_category_house", "小屋"
"catalog_category_lighting", "照明"
"catalog_category_misc", "雜物"
"catalog_category_rug", "地毯"
"catalog_category_seating", "座椅"
"catalog_category_storage", "倉庫"
"catalog_category_table", "桌子"
"catalog_category_trimming", "牆飾"
"catalog_category_utility", "設施"
"catalog_category_wallpaper", "牆紙"
"catalog_category_window", "窗戶"
"catalog_furniture_zones", "家具"
"furniture_item_unlock_title", "新家具解鎖"
"characters_favorties", "喜好："
"characters_final_reward_at", "通過友誼解鎖"
"characters_follow_up_story", "王國"
"characters_friendship_level", "友誼等級"
"characters_full_collection_reward", "全收集獎勵"
"characters_locked", "未解鎖"
"characters_max_friendship_reward", "友誼等級滿級獎勵"
"characters_next_unlock", "接下來解鎖"
"characters_schedule_type_sleep", "睡覺中"
"characters_unlock_condition_Purchase", "邀請這位新朋友來你的村莊！"
"characters_unlock_condition_Secret", "在村莊裡找到他們就能解鎖！"
"characters_unlock_condition_StoryReward", "和這名角色交朋友來解鎖他！"
"characters_welcome", "迎接<br>{characterName}！"
"label_village_area_1540000089", "維塔利礦"
"less_details", "摺疊詳情"
"more_details", "展開詳情"
"allController_disconnected", "搖桿已斷開。請重新連線搖桿。"
"button_common_accept", "接受"
"button_common_back", "返回"
"button_common_buy", "購買"
"button_common_buy_more", "繼續購買"
"button_common_cancel", "取消"
"button_common_cart", "搬運"
"button_common_close", "關閉"
"button_common_collect", "收集"
"button_common_confirm", "確認"
"button_common_connect", "連線"
"button_common_copy", "複製"
"button_common_create", "建立"
"button_common_default_settings", "預設設定"
"button_common_edit", "編輯"
"button_common_infos", "資訊"
"button_common_move_camera", "移動鏡頭"
"button_common_next", "繼續"
"button_common_no", "否"
"button_common_okay", "確定"
"button_common_purchase", "購買"
"button_common_remove", "清理"
"button_common_rotate", "旋轉"
"button_common_sell", "出售"
"button_common_turn_around", "轉身"
"button_common_undo", "撤銷"
"button_common_undo_all", "全部撤銷"
"button_common_validate", "驗證"
"button_common_yes", "是"
"button_common_zoom", "縮放"
"button_common_zoom_in_out", "縮放 +/-"
"button_common_zoom_in_out_text", "縮小/放大"
"common_add", "新增"
"common_all", "全部"
"common_button_select", "選擇"
"common_claimed", "已領取"
"common_come_back_soon", "{Placeholder}Come back later to discover a new and improved version of Dreamlight Valley!"
"common_coming_soon", "即將到來"
"common_complete", "完成"
"common_confirmation", "確認"
"common_decal_name", "裝飾圖案"
"common_directions_beach", "炫麗海灘由此去！"
"common_directions_darkMountains", "遺忘之地由此去！"
"common_directions_forest", "勇氣森林由此去！"
"common_directions_meadow", "寧靜草地由此去！"
"common_directions_savannah", "日照高原由此去！"
"common_directions_tundra", "霜寒高地由此去！"
"common_directions_urban", "廣場由此去！"
"common_directions_wetland", "信仰林地由此去！"
"common_empty", "空"
"common_game_maintenance_action", "重試"
"common_game_maintenance_desc", "梅林正在對我們的伺服器施維護咒。 請稍後再試。"
"common_game_maintenance_title", "維護咒打破！"
"common_game_mandatory_update_desc", "更新至最新版本來探索全新的夢幻星谷！"
"common_game_mandatory_update_title", "新更新"
"common_game_optional_update__title", "更新可用"
"common_game_optional_update_desc", "建議您更新至最新版本。"
"common_game_unavailable_desc", "該版本將無法再使用。"
"common_game_unavailable_title", "不可用"
"common_game_update_later", "稍後"
"common_game_update_now", "該更新了"
"common_give", "送出"
"common_level", "等級"
"common_level_title", "等級"
"common_new", "新"
"common_ready", "完成"
"common_ready_unlock", "亟待解鎖"
"common_refresh", "重新整理"
"common_search", "搜索"
"common_time_am", "{time} AM"
"common_time_days", "{0}天"
"common_time_label_day", "天"
"common_time_label_day_abbr", "天"
"common_time_label_hour", "小時"
"common_time_label_hour_abbr", "小時"
"common_time_label_minute", "分"
"common_time_label_minute_abbr", "分"
"common_time_label_second", "秒"
"common_time_label_second_abbr", "秒"
"common_time_label_week", "周"
"common_time_pm", "{time} PM"
"common_timer_ends_in", "距結束剩餘： "
"common_timer_starts_in", "開始倒計時： "
"common_unavailable", "不可用"
"common_unlock", "解鎖"
"common_upgrade", "升級"
"controller_disconnected", "搖桿已斷開。"
"controller_disconnected_playstation", "無線搖桿已斷開。"
"insufficient_space", "要執行本遊戲，您的磁碟上需要有{RequiredSpace} MB剩餘空間，「{Drive}」。"
"insufficient_space_title", "空間不足"
"label_a_to_b", "{a}到{b}"
"label_building", "解鎖建築"
"label_claim", "收集"
"label_cooking", "烹飪"
"label_create_account", "建立帳號"
"label_dessert", "甜點"
"label_dinner", "正餐"
"label_email", "信箱"
"label_energy", "精力"
"label_favorite_things", "收藏"
"label_fish", "魚"
"label_fishing", "釣魚"
"label_flower", "花"
"label_foraging", "採集"
"label_friendship", "友誼"
"label_fruit", "水果"
"label_gardening", "園藝"
"label_grain", "穀物"
"label_hangout_bonus", "交際獎勵"
"label_ingredient", "原料"
"label_login", "登錄"
"label_mineral", "礦石"
"label_mining", "採礦"
"label_new_quest", "新任務！"
"label_password", "密碼"
"label_quest_progress", "任務進度"
"label_recipe", "食譜"
"label_selling_for", "售價"
"label_send", "發送"
"label_spice", "香料"
"label_treasure", "珍寶"
"label_vegetable", "蔬菜"
"label_verification_code", "驗證碼"
"label_village", "村莊"
"label_village_area_beach", "炫麗海灘"
"label_village_area_cliff", "霜寒高地"
"label_village_area_darkmountains", "遺忘之地"
"label_village_area_everywhere", "隨處可見"
"label_village_area_forest", "勇氣森林"
"label_village_area_meadow", "寧靜草地"
"label_village_area_savannah", "日照高原"
"label_village_area_urban", "廣場"
"label_village_area_wetland", "信仰林地"
"scroogesignpopup", "史高治的商店"
"cooking_autofill", "自動填充"
"cooking_back_remove_ingredients", "關閉/移除食材"
"cooking_history", "歷史"
"cooking_ingredient_missing", "（缺少食材）"
"cooking_result_cookbook", "食譜"
"cooking_result_used", "已使用"
"cooking_select_recipe", "（選擇食譜）"
"new_recipe_unlocked", "新食譜解鎖：<br>{recipe}"
"crafting_make_button", "製作"
"crafting_quests_filter", "任務"
"crafting_recipes_title", "製作配方"
"crafting_recipes_unlock_title", "新制作配方解鎖"
"target_current", "目前目標"
"target_enter", "進入"
"target_fish_ripple", "漁點"
"target_leave", "離開"
"cutscene_introbackstory_01", "夢幻星谷曾經住滿村民，充滿歡聲笑語。"
"cutscene_introbackstory_02", "多虧了我們谷主的魔法，這裡繁榮興盛，生機勃勃。"
"cutscene_introbackstory_03", "直到有一天，谷主無聲無息地離開了……然後「大遺忘」就發生了。"
"cutscene_introbackstory_04", "我們的記憶開始消退，夢幻星谷也變得面目全非……"
"cutscene_introbackstory_05", "我們盡了最大的努力保留對過去生活的記憶。"
"cutscene_introvideo_01", "你決定離開這座城市，我們的故事就在這樣的結局下開始。"
"cutscene_introvideo_02", "因為想逃避生活中的種種責任，你來到了一個熟悉的地方。"
"cutscene_introvideo_03", "沿著附近的小路快速前行，你來到了童年時的居所，那時的生活簡單純樸……"
"cutscene_introvideo_04", "只要有一點想像力，你的夢想都會成真！"
"cutscene_introvideo_05", "找到一個能好好休息的地方後，你開始回憶起這些失去已久的夢想……"
"cutscene_introvideo_06", "逐漸進入了夢鄉。"
"cutscene_tool_unlocked", "{tool}已解鎖"
"hold_to_skip", "長按跳過"
"decal_base_items", "空白帆布衣服"
"decal_camera_view", "鏡頭視角"
"decal_color_picker", "打開顏色選擇器"
"decal_delete_design_confirmation_desc", "確定要永久刪除此設計嗎？"
"decal_delete_design_confirmation_title", "刪除自定義設計"
"decal_disclaimer_body", "「魔法之觸」是展現你創造力的工具。

請注意，創造的內容要適合所有受眾，避免以任何方式創造不適當或有害的內容。

感謝您為大家打造一個安全潔凈的社區。"
"decal_disclaimer_title", "魔法之觸——免責聲明"
"decal_inventory_full_body", "您可用的設計欄位均已填滿。

請刪除舊的設計以建立新設計。"
"decal_inventory_full_title", "設計欄已滿"
"decal_layer_counter", "圖層<br>{current}/{max}"
"decal_modes_panel", "打開模式面板"
"decal_move_motif", "移動圖案"
"decal_no_delete", "不，保留設計"
"decal_orbit_camera", "旋轉鏡頭"
"decal_rotate_motif", "旋轉圖案"
"decal_save_and_quit", "儲存並退出"
"decal_scale_motif", "調節圖案"
"decal_yes_delete", "刪除"
"motif_add_new", "新增"
"motif_category", "圖案類別"
"motif_colorizable", "可上色裝飾圖案"
"motif_customize", "自定義"
"motif_decals", "裝飾圖案"
"motif_non_colorizable", "不可上色裝飾圖案"
"purchase_base_cloth_desc", "你需要購買這件物品以繼續。"
"dialog_goodbye", "抱歉，我現在沒時間閑聊。"
"dialog_locked_friendship_level", "需要友誼等級{level}級。"
"dialog_multiple_question_label_icon", "{icon}{text}"
"dialog_request", "我們一起做園藝吧！"
"dialog_talking", "你好！"
"dialog_wait", "[...]"
"event_hub_event", "活動"
"event_hub_event_ended", "已結束"
"event_hub_go_to_event", "前往活動"
"event_hub_news", "訊息"
"expand_label", "擴建"
"house_expansion_add_floor", "增加樓層"
"house_expansion_add_room", "增加房間"
"house_expansion_enter_name", "輸入房間名"
"house_expansion_expand_confirm", "確定要擴建主房間嗎？"
"house_expansion_floor_confirm", "確定要增加新樓層嗎？"
"house_expansion_floor_label", "{floor}樓"
"house_expansion_floors", "樓"
"house_expansion_label", "房屋擴建"
"house_expansion_reduction_confirm", "更改此房間的大小將會移除所有家具。家具會被放回你的物品欄中。要繼續嗎？"
"house_expansion_title", "小屋樓層"
"filter_buttton_add", "增加篩選條件"
"filter_filters", "篩選條件"
"fishing_boat_next_fish_in", "下一批魚："
"fishing_btn_keep", "保持"
"fishing_btn_release", "鬆開"
"fishing_building_locked", "解鎖{characterName}的小屋以解鎖釣魚！"
"fishing_desc", "你剛剛釣到了： "
"fishing_error_no_fish_constrain", "{placeholder}There are no fish of the type you are looking for at the moment, please try again when it's {constraint}."
"fishing_error_no_fish_try_later", "暫時沒有你所需型別的魚。請稍後再試。"
"fishing_hold", "長按！"
"fishing_new_record", "新紀錄"
"fishing_release", "鬆開！"
"fishing_wait", "等等！"
"fishing_weight_kilograms", "{weight}公斤"
"fishing_weight_pounds", "{weight}磅"
"moana_boat_fish_cap", "魚數量上限：{current}/{cap}"
"friendship_rewards_label", "獎勵："
"friendship_level_up", "等級提升！"
"ftue_be_active", "在山谷中進行活動。"
"ftue_beachcavetablet_01", "提供<Lore>最合適的寶石</Lore>來繼續你的英雄任務。"
"ftue_beachcavetablet_02", "找到<Lore>正確的作物進行種植</Lore>以繼續前進。<Lore>一種種在地下</Lore>，<Lore>一種是金棕色</Lore>，<Lore>還有一種又紅又圓</Lore>。"
"ftue_beachcavetablet_03", "最後一題，聽好了：將你種植的作物<Lore>做成料理並吃下</Lore>。"
"ftue_beachcavetablet_04", "做完最後一件事，你就可以走了。<Lore>獲得下面的寶珠</Lore>。"
"ftue_become_powerful", "獲得經驗值來升級！"
"ftue_build_friendship", "朋友遍天下！"
"ftue_camera_desc", "拍下最美的照片並儲存在你的裝置上。"
"ftue_camera_title", "捕捉瞬間：相機"
"ftue_complete_task", "在山谷中保持活躍。"
"ftue_cooking_title", "烹飪的藝術"
"ftue_crops_grow_faster", "作物在它們的原生區域中生長更快！"
"ftue_discover_recipes", "組合不同原料來發現新的食譜。"
"ftue_dreamlight_get", "在夢幻星光獲得夢幻星光！"
"ftue_dreamlight_title", "使用夢幻星光讓星谷復原！"
"ftue_energy_title", "提高精力上限"
"ftue_energyOut_info1", "如果沒有精力，很多活動都無法參加。"
"ftue_energyOut_info2", "進食或待在你的小屋裡都會補充精力。"
"ftue_energyOut_info3", "一頓健康的大餐是恢復的最好辦法。"
"ftue_energyOut_title", "如何應對疲勞"
"ftue_equip_camera", "使用{input_toolswheel}打開工具輪並選擇鏡頭。"
"ftue_equip_fishingrod", "使用{input_toolswheel}打開工具輪並選擇釣魚竿。"
"ftue_equip_pickaxe", "使用{input_toolswheel}打開工具輪並選擇鎬子。"
"ftue_equip_shovel", "使用{input_toolswheel}打開工具輪並選擇鏟子。"
"ftue_equip_wateringcan", "使用{input_toolswheel}打開工具輪並選擇灑水壺。"
"ftue_fish_anywhere", "長按{input_usetool}甩魚竿。"
"ftue_fishing_title", "在山谷中釣魚"
"ftue_fishingrod_desc", "長按{input_usetool}甩魚竿。"
"ftue_fishingrod_title", "瞄準漣漪：釣魚竿"
"ftue_gain_resources", "收集資源。"
"ftue_gain_star_coin", "換取星幣。"
"ftue_garden_title", "星谷園藝！"
"ftue_gather_minerals", "使用{input_usetool}開採岩石以收集礦物"
"ftue_get_friendship", "增進友誼！"
"ftue_get_friendship_rewards", "一起展開新的冒險！解鎖新的劇情和專屬獎勵。"
"ftue_gift_eat_sell", "吃掉、出售你的飯菜或贈送給星谷的朋友們！"
"ftue_go_see_goofy", "把不需要的東西在高飛的貨攤出售！"
"ftue_hangout_ask_help", "和村民們結伴出行，他們會幫助你完成任務。"
"ftue_hangout_friend_bonus", "升級你的友誼，將技能專精分配給更多村民以獲得更多結伴加成！"
"ftue_hangout_get_resources", "為村莊裡的朋友們選擇技能專精以獲得更多資源。"
"ftue_hangout_title", "和朋友結伴出行！"
"ftue_hold_and_release", "瞄準漣漪確保你能釣到魚。"
"ftue_house_customize_expand", "擴建並定製你的小屋。"
"ftue_house_title", "甜蜜之家！"
"ftue_how_to_interact_pc", "點選左鍵或使用{input_interact}來跟環境互動"
"ftue_how_to_interact_ps4", "使用{input_interact}跟環境互動"
"ftue_how_to_interact_xbox", "使用{input_interact}跟環境互動"
"ftue_how_to_move_pc", "使用W，A，S，D或方向鍵移動角色。使用滑鼠轉動視角！"
"ftue_how_to_move_playstation", "用L搖桿移動你的角色。用R搖桿檢視四周！"
"ftue_how_to_move_switch", "用L搖桿移動你的角色。用R搖桿檢視四周！"
"ftue_how_to_move_title", "移動和互動"
"ftue_how_to_move_xbox", "用L搖桿移動你的角色。用R搖桿檢視四周！"
"ftue_increase_energy", "你的精力上限已提升！"
"ftue_interact_with_oven", "使用{input_interact}與任意爐子互動以開始烹飪"
"ftue_item_storage", "使用小屋的倉庫作為第二個物品欄。"
"ftue_mining_title", "你可以在山谷中採礦"
"ftue_need_coal", "你需要煤來點燃它！"
"ftue_new_level", "新等級！"
"ftue_not_enough_coins", "獲得星幣的途徑"
"ftue_or", "或"
"ftue_pickaxe_desc", "使用{input_usetool}開採和移除障礙物"
"ftue_pickaxe_title", "岩石和礦物：鎬子"
"ftue_pillar_note", "如果水被擋住了——<Lore>請接著看！！！</Lore><br><br>暗夜荊棘越來越多。但不要擔心，我知道如何阻止它們！<br><br>我不小心把一些<Lore>麥根沙士</Lore>濺到上面，它們竟然有點枯萎。<br><br>如果我們能做更多麥根沙士……並且使用這些<Lore>糖果讓它起泡……</Lore><br><br>……我敢說我們就能把暗夜荊棘連根拔起！<br><br>我把所有的材料都留在了<Lore>營地寶箱裡。</Lore><br><br>我只希望在我開始遺忘之前<Lore>把它們都放進這個桶裡</Lore>……<br>"
"ftue_plant_seeds", "通過採集或在高飛貨攤交易來獲得種子。"
"ftue_realtime_synch_char_schedule", "角色將會按照自身的時間表行動，請多加留意！"
"ftue_realtime_synch_daily", "記得每天回來，發現新的東西！"
"ftue_realtime_synch_timesynch", "遊戲已與您的時間同步！隨著時間推移，時間將從白天變為夜晚。"
"ftue_realtime_synch_title", "實時同步！"
"ftue_remove_night_thorns", "清除城堡入口處和山谷其他地方的暗夜荊棘。"
"ftue_remove_obstacles", "掃清道路"
"ftue_remove_obstacles_desc", "剷除任何擋道的物品！"
"ftue_rest_at_house", "在小屋中消磨時間來恢復精力！"
"ftue_ripples_chances_for_rare", "圓圈變綠時快速按下{input_FishingAction}。"
"ftue_royalduties_more_options", "完成後，你就可以在夢幻星光中獲得夢幻星光。按{input_mainmenudreamlight}鍵打開。"
"ftue_royalduties_tasks", "夢幻星光任務是星谷中的短期任務。"
"ftue_royalduties_title", "別忘了你的夢幻星光任務！"
"ftue_royalduties_unlock_areas", "進入新區域並復原星谷！"
"ftue_shortcut_camera", "你也可以按{input_shortcutcamera}鍵打開相機"
"ftue_shortcut_fishingrod", "你也可以按{input_shortcutfishingpole}鍵啟用釣魚竿"
"ftue_shortcut_pickaxe", "你也可以按{input_shortcutpickaxe}鍵啟用鎬子"
"ftue_shortcut_shovel", "你也可以按{input_shortcutshovel}鍵啟用鏟子"
"ftue_shortcut_wateringcan", "你也可以按{input_shortcutwateringcan}鍵來啟用灑水壺"
"ftue_shovel_desc", "按{input_usetool}鍵在地上挖洞和移除障礙物"
"ftue_shovel_title", "深入挖掘：鏟子"
"ftue_spending_time_with_friends", "建立友誼：

- 結伴出行

- 交換禮物

- 日常交談"
"ftue_starpath_duties", "完成任務來贏取代幣"
"ftue_starpath_duty_desc", "跟他們討論10次"
"ftue_starpath_duty_title", "去拜訪村民"
"ftue_starpath_rewards", "在賽事結束前花費代幣來獲取獨家獎勵"
"ftue_starpath_timer", "結束倒計時：02:32:45"
"ftue_starpath_title", "星路"
"ftue_starpath_unlock_premium", "解鎖璀璨星路來加快進度並獲得更多獎勵"
"ftue_strengthen_friends", "見證友誼成長。"
"ftue_tool_list", "為不同任務選擇合適的工具……"
"ftue_use_minerals", "礦石有多種不同用途。"
"ftue_use_shovel", "按{input_usetool}鍵用鏟子挖出一塊園地"
"ftue_water_seed", "種下種子，澆水，然後等待作物長大！"
"ftue_wateringcan_desc", "按{input_usetool}鍵來給作物和鮮花澆水"
"ftue_wateringcan_title", "綠意盎然：灑水壺"
"menu_collection", "收藏"
"press_left_click", "滑鼠左鍵"
"tuto_popup_collection", "收藏：概述"
"tuto_popup_collection_box_1", "從主進入收藏。"
"tuto_popup_collection_box_1_PC", "按{input_mainmenucollection}鍵或從主進入收藏。"
"tuto_popup_collection_box_2", "選擇物品並瞭解詳情。"
"tuto_popup_collection_item_label", "如何獲得"
"tuto_popup_crafting_station", "自己動手做：製作臺"
"tuto_popup_crafting_station_box_1", "與任意製作臺互動開始製作。"
"tuto_popup_crafting_station_box_2", "選擇配方，確保你有所需材料，從而製作心儀的物品。"
"tuto_popup_crafting_station_box_3", "每個區域都有特定的原料。通過採集和試驗來發現新的製作配方。"
"tuto_popup_customization_clothing", "光彩照人：服裝"
"tuto_popup_customization_clothing_box_1", "從物品欄進入服裝。"
"tuto_popup_customization_clothing_box_1_PC", "通過物品欄或按{input_wardrobe}進入服裝。"
"tuto_popup_customization_clothing_box_2", "選擇服裝來自定義你的角色外觀。"
"tuto_popup_customization_clothing_box_3", "提升你跟鄰居的友誼等級，每天訪問史高治的商店以解鎖新物品。"
"tuto_popup_customization_furniture", "空間設計：家具"
"tuto_popup_customization_furniture_box_1", "從物品欄進入家具。"
"tuto_popup_customization_furniture_box_1_PC", "通過物品欄或按{input_catalog}進入家具。"
"tuto_popup_customization_furniture_box_2", "選擇家具來定製你的村子。"
"tuto_popup_customization_furniture_box_3", "每天拜訪史高治的商店並提升與他的友誼等級來解鎖更多家具。"
"tuto_popup_map", "方向指引"
"tuto_popup_map_box_1", "從主進入地圖。"
"tuto_popup_map_box_1_PC", "通過主或者按{input_mainmenumap}進入地圖。"
"tuto_popup_map_box_2", "地圖上會顯示角色、作物、建築等的位置！"
"tuto_popup_map_box_3", "選擇城堡或使用快捷鍵{input_fastTravel}來「快速移動」到能去的地點。"
"tuto_popup_map_fast_travel", "快速旅行"
"tuto_popup_map_fast_travel_box_1", "從主進入地圖。"
"tuto_popup_map_fast_travel_box_1_PC", "通過主或者按{input_mainmenumap}進入地圖。"
"tuto_popup_map_fast_travel_box_2", "點選「井」或打開「快速移動」，快速傳送到村莊中的某個地點。"
"tuto_popup_map_fast_travel_box_3", "探索村莊，解鎖更多王國或許願井。"
"tuto_popup_moana_fishing_boat", "莫娜的漁船"
"tuto_popup_moana_fishing_boat_box_1", "莫娜會定期出海為你捕魚。"
"tuto_popup_moana_fishing_boat_box_2", "記得經常去漁船領取捕回的魚！"
"tuto_popup_moana_fishing_boat_box_3", "升級漁船來提升捕魚效率。"
"tuto_popup_place_house", "安家落戶：放置小屋"
"tuto_popup_place_house_box_1", "在家具中可以找到小屋。打開物品欄。"
"tuto_popup_place_house_box_1_PC", "在家具頁面中可以找到小屋。打開物品欄或按{input_catalog}進入。"
"tuto_popup_place_house_box_2", "進入小屋，選擇要放置的小屋！"
"tuto_popup_place_house_box_3", "在星谷中任意位置放置小屋！你需要史高治來幫忙升級小屋！"
"tuto_popup_quest", "任務日誌"
"tuto_popup_quest_box_1", "從主進入任務。"
"tuto_popup_quest_box_1_PC", "通過主或按{input_mainmenuquestlog}進入任務。"
"tuto_popup_quest_box_2", "你也可以用{input_trackquest}來追蹤任務。"
"tuto_popup_quest_box_2_PC", "你也可以用{input_trackquest}來追蹤任務。"
"tuto_popup_quest_tracking", "追蹤劇情"
"tuto_popup_quest_tracking_box_1", "使用{input_fasttrackquest}快速追蹤新任務！"
"tuto_popup_quest_tracking_box_2", "不小心錯過了？在任務使用「追蹤」圖示或{input_trackquest}來追蹤任務。"
"tuto_popup_restaurant_orders", "餐廳點單"
"tuto_popup_restaurant_orders_box_1", "村民在小米餐廳用餐時，有時會有特定的用餐要求。"
"tuto_popup_restaurant_orders_box_2", "完成他們的點單來獲得獎勵和友誼。"
"tuto_popup_walle_garden", "指令：植物"
"tuto_popup_walle_garden_box_1", "瓦力現在可以打理自己的花園了。"
"tuto_popup_walle_garden_box_2", "記得定期去花園收穫作物。"
"tuto_popup_walle_garden_box_3", "升級花園來提高它的容量和效率。"
"game_guide_title_camera", "相機"
"game_guide_title_collection", "收藏"
"game_guide_title_cooking", "烹飪"
"game_guide_title_crafting", "製作"
"game_guide_title_customization", "自定義"
