"Alexandrite_Description", "可開採的變色礦石。"
"BellPepperPuffs_DisplayName", "燈籠椒捲"
"BerrySalad_Description", "綠葉蔬菜搭配各種漿果。"
"BerrySalad_DisplayName", "漿果沙拉"
"BirthdayCake_Description", "有甜蜜喜慶糖霜的鬆軟蛋糕。"
"BirthdayCake_DisplayName", "生日蛋糕"
"Biscuit_Description", "可搭配任何餐食的配菜。"
"Biscuit_DisplayName", "餅乾"
"BlueberryPie_Description", "酸甜可口的夏季甜派。"
"BlueberryPie_DisplayName", "藍莓派"
"BlueZircon_Description", "可開採的醒目藍寶石。"
"BlueZircon_DisplayName", "藍鋯石"
"BlueZircon_Shiny_Description", "可開採的稀有醒目藍寶石。"
"BlueZircon_Shiny_DisplayName", "閃亮藍皓石"
"Bouillabaisse_Description", "品種豐富的魚類燉菜。"
"Bouillabaisse_DisplayName", "法式海鮮湯"
"Bream_Description", "山間溪流中常見的銀色魚。"
"Bream_DisplayName", "鳊魚"
"Brick_Description", "經典紅磚頭。完美的建築材料。"
"Bromelia!BromeliaPink_Description", "尖尖的鮮艷花朵。"
"Bromelia!BromeliaPink_DisplayName", "粉鳳梨"
"Bromelia!BromeliaRed_Description", "花從綠變黃，再變成紅色。"
"Bromelia!BromeliaRed_DisplayName", "紅鳳梨"
"Bromelia!BromeliaYellow_Description", "筆直向上生長的黃花。"
"Bromelia!BromeliaYellow_DisplayName", "黃鳳梨"
"Candy_Description", "甜蜜的糖果可以點亮你的生活。"
"Candy_DisplayName", "糖果"
"CaramelApples_Description", "美味焦糖包裹的紅蘋果。"
"CaramelApples_DisplayName", "焦糖蘋果"
"Carp_Description", "常見的淡水魚。"
"Carp_DisplayName", "鯉魚"
"CarpSalad_Description", "綠葉蔬菜搭配番茄和鮮魚。"
"CarpSalad_DisplayName", "鯉魚沙拉"
"CarrotCake_Description", "有胡蘿蔔和肉桂的美味蛋糕。"
"CarrotCake_DisplayName", "胡蘿蔔蛋糕"
"Catfish_Description", "有著貓一樣「鬍鬚」的大魚。"
"Catfish_DisplayName", "鯰魚"
"CheeseCake_Description", "搭配果醬的濃郁奶油甜點。"
"CheeseCake_DisplayName", "起司蛋糕"
"CheesePlatter_Description", "一盤精心挑選的起司。"
"CheesePlatter_DisplayName", "起司拼盤"
"CheesyCripsyBakedCod_DisplayName", "起司脆皮烤鱈魚"
"CherryPie_Description", "味道濃烈的櫻桃派。"
"CherryPie_DisplayName", "櫻桃派"
"ChiliPepperPuffs_Description", "味道辛辣的酥皮點心。"
"ChiliPepperPuffs_DisplayName", "辣椒捲"
"ChocolateChipCookies_Description", "香濃的甜點！"
"ChocolateChipCookies_DisplayName", "巧克力豆餅乾"
"ChocolateIceCream_Description", "口感濃郁，讓人十分享受的冰爽美味。"
"ChocolateIceCream_DisplayName", "巧克力冰淇淋"
"ChocolateWaffles_Description", "鬆軟的鬆餅塗上厚厚的巧克力醬。"
"ChocolateWaffles_DisplayName", "巧克力鬆餅"
"Chowder_Description", "用蛤蜊和蘑菇碎做成的奶油濃湯。"
"Chowder_DisplayName", "蛤蜊濃湯"
"Citrine_Description", "可開採的橙色寶石。"
"Citrine_DisplayName", "黃水晶"
"Citrine_Shiny_Description", "可開採的稀有橙色寶石。"
"Citrine_Shiny_DisplayName", "閃亮黃水晶"
"CitrusSorbet_Description", "清爽的柑橘味冰甜點。"
"Clam_Description", "能在炫麗海灘找到。快去找吧！"
"Clam_DisplayName", "蛤蜊"
"Clay_Description", "可以製成各種各樣的物品。"
"Clothing_Description", "裝著各種服裝飾品的沉重袋子。"
"Clothing_DisplayName", "衣物包"
"Coal_Description", "煤是保持烤箱溫度的必需品。"
"CoconutCake_Description", "有糖霜和椰絲的鬆軟蛋糕。"
"CoconutCake_DisplayName", "椰子蛋糕"
"CoconutIceCream_Description", "兩大勺椰子味的美食。"
"CoconutIceCream_DisplayName", "椰子冰淇淋"
"Cod_Description", "喜歡冷水的常見魚類。"
"Cod_DisplayName", "鱈魚"
"Congee_Description", "木須的獨家早餐，雞蛋粥。"
"Congee_DisplayName", "木須的粥"
"CookieMedal_Description", "送給朋友的完美好味禮物。"
"CookieMedal_DisplayName", "褒獎餅乾"
"Cotton_Description", "柔軟的絨毛，用處很大。"
"Crab_Description", "有鋒利大鉗子的甲殼類小動物。"
"Crab_DisplayName", "螃蟹"
"Crackers_Description", "有點乾，但很好吃！"
"Crackers_DisplayName", "薄脆餅乾"
"Crafting!PurifiedNightShard_DisplayName", "純凈夜之碎片"
"CraftingRecipe_Description", "寫著製作方法的一頁紙。"
"CraftingRecipe_DisplayName", "製作方法"
"CreamyGarlicScallop_Description", "抹上蒜香奶油醬的新鮮扇貝。"
"CreamyGarlicScallop_DisplayName", "蒜香奶油扇貝"
"CreamyScallop_Description", "簡單又美味的湯。"
"CreamySoup_DisplayName", "奶油濃湯"
"Crepe_Description", "灑上糖和水果的薄煎餅。"
"Crepe_DisplayName", "可麗餅"
"CrispyBakedCod_Description", "一塊烤得外焦裡嫩的白魚。"
"CrispyBakedCod_DisplayName", "脆皮烤鱈魚"
"Crop!Asparagus_Seed_Description", "播下種子就會長出蘆筍。"
"Crop!Asparagus_Seed_DisplayName", "蘆筍種子"
"Crop!BellPepper_Seed_Description", "播下種子就會長出燈籠椒。"
"Crop!BellPepper_Seed_DisplayName", "燈籠椒種子"
"Crop!Canola_Seed_Description", "播下種子就會長出油菜花。"
"Crop!Canola_Seed_DisplayName", "油菜花種子"
"Crop!Carrot_Seed_Description", "播下種子就會長出胡蘿蔔。"
"Crop!Carrot_Seed_DisplayName", "胡蘿蔔種子"
"Crop!ChiliPepper_Seed_Description", "播下種子就會長出辣椒。"
"Crop!ChiliPepper_Seed_DisplayName", "辣椒種子"
"Crop!Corn_Seed_Description", "播下種子就會長出玉米。"
"Crop!Corn_Seed_DisplayName", "玉米種子"
"Crop!Cucumber_Seed_Description", "播下種子就會長出黃瓜。"
"Crop!Cucumber_Seed_DisplayName", "黃瓜種子"
"Crop!Eggplant_Seed_Description", "播下種子就會長出茄子。"
"Crop!Eggplant_Seed_DisplayName", "茄子種子"
"Crop!Leek_Seed_Description", "播下種子就會長出韭菜。"
"Crop!Leek_Seed_DisplayName", "韭菜種子"
"Crop!Lettuce_Seed_Description", "播下種子就會長出生菜。"
"Crop!Lettuce_Seed_DisplayName", "生菜種子"
"Crop!Mission!Realm!RLM_Rata_010_Dish_Seed_Description", "呃，這是「充分使用過」的餐盤。"
"Crop!Mission!Realm!RLM_Rata_010_Dish_Seed_DisplayName", "臟盤子"
"Crop!Mission!Realm!RLM_Wall_010_WallESeedbag_Description", "不同尋常的種子。它還能發芽嗎？"
"Crop!Mission!Realm!RLM_Wall_010_WallESeedbag_DisplayName", "花園種子"
"Crop!Mission!Village!VLG_Maui_010_Eel_Description", "生活在海洋中的細長魚類。"
"Crop!Mission!Village!VLG_Maui_010_Eel_DisplayName", "鰻魚"
"Crop!Mission!Village!VLG_Merl_070_FrozenTear_Description", "看起來像冰淚珠的種子。"
"Crop!Mission!Village!VLG_Merl_070_FrozenTear_DisplayName", "冰淚種子"
"Crop!Mission!Village!VLG_Moth_040_SunstoneDuskNA_Description", "仔細觀察，你會發現碎片的光芒比它原本該有的光芒暗了許多。"
"Crop!Mission!Village!VLG_Moth_040_SunstoneDuskNA_DisplayName", "黯淡暮色碎片"
"Crop!Okra_Seed_Description", "播下種子就會長出秋葵。"
"Crop!Okra_Seed_DisplayName", "秋葵種子"
"Crop!Onion_Seed_Description", "播下種子就會長出洋蔥。"
"Crop!Onion_Seed_DisplayName", "洋蔥種子"
"Crop!Potato_Seed_Description", "播下種子就會長出馬鈴薯。"
"Crop!Potato_Seed_DisplayName", "馬鈴薯種子"
"Crop!Pumpkin_Seed_Description", "播下種子就會長出南瓜。"
"Crop!Pumpkin_Seed_DisplayName", "南瓜種子"
"Crop!Rice_Seed_Description", "播下種子就會長出稻米。"
"Crop!Rice_Seed_DisplayName", "稻米種子"
"Crop!Soya_Seed_Description", "播下種子就會長出黃豆。"
"Crop!Soya_Seed_DisplayName", "黃豆種子"
"Crop!Spinach_Seed_Description", "播下種子就會長出菠菜。"
"Crop!Spinach_Seed_DisplayName", "菠菜種子"
"Crop!Sugarcane_Seed_Description", "播下種子就會長出甘蔗。"
"Crop!Sugarcane_Seed_DisplayName", "甘蔗種子"
"Crop!Tomato_Seed_Description", "播下種子就會長出番茄。"
"Crop!Tomato_Seed_DisplayName", "番茄種子"
"Crop!Wheat_Seed_Description", "播下種子就會長出小麥。"
"Crop!Wheat_Seed_DisplayName", "小麥種子"
"Crop!Zuccini_Seed_Description", "播下種子就會長出櫛瓜。"
"Crop!Zuccini_Seed_DisplayName", "櫛瓜種子"
"Crudites_Description", "蔬菜和蘸醬組合。"
"Crudites_DisplayName", "蔬菜棒"
"Crystal_Description", "可用於製作的美麗稀有水晶。"
"Daisy!DaisyRed_Description", "鮮紅的花瓣圍繞著黃色的球狀花蕊。"
"Daisy!DaisyRed_DisplayName", "紅色雛菊"
"Daisy!DaisyWhite_Description", "白色花朵象徵著純潔。"
"Daisy!DaisyWhite_DisplayName", "白色雛菊"
"Daisy!DaisyYellow_Description", "亮黃色的花瓣圍繞著黑色的球狀花蕊。"
"Daisy!DaisyYellow_DisplayName", "黃色雛菊"
"Dandelion!DandelionYellow_Description", "廣泛用於藥材的黃色野花。"
"Dandelion!DandelionYellow_DisplayName", "蒲公英"
"DarkForestPlant_Description", "生長在黑暗森林中的草本植物。"
"DarkWood_Description", "一堆樹枝，等著變成別的東西。"
"Decal_Description", "一小袋裝飾圖案，可以用來裝飾你的服裝。"
"Decal_DisplayName", "裝飾圖案袋"
"Diamond_Description", "可開採的稀有透明礦石。"
"Diamond_DisplayName", "鑽石"
"Diamond_Shiny_Description", "可開採的稀有透明礦石。"
"Diamond_Shiny_DisplayName", "閃亮鑽石"
"DonaldBag_Description", "裝滿探險必需品的袋子。"
"DonaldFeather_Description", "唐老鴨的羽毛。"
"DonaldFeatherEnchanted_Description", "追蹤唐老鴨的神奇羽毛。"
"DreamShard_Description", "夢幻星光魔法的結晶。"
"DryWood_Description", "一堆乾木材，等著變成別的東西。"
"Eel_Description", "生活在海洋中的細長魚類。"
"Eel_DisplayName", "鰻魚"
"EggplantPuffs_Description", "塞了茄子的小酥皮點心。"
"EggplantPuffs_DisplayName", "茄子捲"
"Emerald_Description", "可開採的深綠色寶石。"
"Emerald_DisplayName", "綠寶石"
"Emerald_Shiny_Description", "可開採的稀有深綠色寶石。"
"Emerald_Shiny_DisplayName", "閃亮綠寶石"
"Fabric_Description", "你會用這塊布料剪出什麼？"
"FallingPenstemon!FallingPenstemonBlue_Description", "盛開時下垂的藍色野花。"
"FallingPenstemon!FallingPenstemonBlue_DisplayName", "藍色低垂釣鐘柳"
"FallingPenstemon!FallingPenstemonPurple_Description", "盛開時下垂的紫色野花。"
"FallingPenstemon!FallingPenstemonPurple_DisplayName", "紫色低垂釣鐘柳"
"FallingPenstemon!FallingPenstemonRed_Description", "盛開時低垂的紅色野花。"
"FallingPenstemon!FallingPenstemonRed_DisplayName", "紅色低垂釣鐘柳"
"FallingPenstemon!FallingPenstemonWhitePink_Description", "盛開時下垂的粉白色野花。"
"FallingPenstemon!FallingPenstemonWhitePink_DisplayName", "粉白低垂釣鐘柳"
"Fiber_Description", "結實的粗糙纖維，很多配方中都會用到。"
"FishCreole_Description", "把魚和蔬菜辣醬蓋在米飯上。"
"FishCreole_DisplayName", "克里奧爾魚"
"FishNChips_Description", "炸魚和咸薯條。"
"FishNChips_DisplayName", "魚和薯條"
"FishPasta_Description", "有魚和清爽醬汁的細意大利麵。"
"FishPasta_DisplayName", "魚肉意大利麵"
"FishPie_Description", "用馬鈴薯泥做餡的菜。"
"FishPie_DisplayName", "魚肉派"
"FishSalad_Description", "有新鮮魚肉的綠色沙拉。"
"FishSalad_DisplayName", "魚肉沙拉"
"FishSandwiches_Description", "麵包片夾炸魚"
"FishSandwiches_DisplayName", "魚肉三明治"
"FishSoup_Description", "一碗熱騰騰的美味魚湯。"
"FishSoup_DisplayName", "魚湯"
"FishSteak_Description", "完美的烤魚。"
"FishSteak_DisplayName", "魚排"
"FishTaco_Description", "海濱最佳小吃！"
"FishTaco_DisplayName", "炸魚捲餅"
"FrenchFries_Description", "完美調味的薯條。"
"FrenchFries_DisplayName", "炸薯條"
"Fruit!Apple_Description", "可從樹上採摘的水果。"
"Fruit!Apple_DisplayName", "蘋果"
"Fruit!Banana_Description", "可從樹上採摘的黃色水果。"
"Fruit!Banana_DisplayName", "香蕉"
"Fruit!Blueberry_Description", "可從灌木叢採摘的甜水果。"
"Fruit!Blueberry_DisplayName", "藍莓"
"Fruit!Cherry_Description", "可從樹上採摘的酸水果。"
"Fruit!Cherry_DisplayName", "櫻桃"
"Fruit!Cocoa_Description", "可從樹上採摘的美味豆子。"
"Fruit!Cocoa_DisplayName", "可可豆"
"Fruit!Coconut_Description", "可從樹上採摘的硬水果。"
"Fruit!Coconut_DisplayName", "椰子"
"Fruit!Gooseberry_Description", "可從灌木叢採摘的酸水果。"
"Fruit!Gooseberry_DisplayName", "醋栗"
"Fruit!Lemon_Description", "可從樹上採摘的酸柑橘類水果。"
"Fruit!Lemon_DisplayName", "檸檬"
"Fruit!Lime_Description", "可從樹上採摘的酸柑橘類水果。"
"Fruit!Lime_DisplayName", "萊姆"
"Fruit!Raspberry_Description", "可從灌木叢採摘的酸漿果。"
"Fruit!Raspberry_DisplayName", "樹莓"
"Fruit!Strawberry_Description", "可從灌木叢採摘的甜水果。"
"Fruit!Strawberry_DisplayName", "草莓"
"FruitSalad_Description", "有香蕉、蘋果和其他水果的沙拉。"
"FruitSalad_DisplayName", "水果沙拉"
"FruitSorbet_Description", "適合夏日享用的美味水果甜點。"
"FruitSorbet_DisplayName", "水果雪酪"
"FruitTree!Apple_Seed_Description", "播下種子就會長出蘋果。"
"FruitTree!Apple_Seed_DisplayName", "蘋果種子"
"FruitTree!Banana_Seed_Description", "播下種子就會長出香蕉。"
"FruitTree!Banana_Seed_DisplayName", "香蕉種子"
"FruitTree!Blueberry_Seed_Description", "播下種子就會長出藍莓。"
"FruitTree!Blueberry_Seed_DisplayName", "藍莓灌木叢種子"
"FruitTree!Cherry_Seed_Description", "播下種子就會長出櫻桃。"
"FruitTree!Cherry_Seed_DisplayName", "櫻桃種子"
"FruitTree!Cocoa_Seed_Description", "播下種子就會長出可可豆。"
"FruitTree!Cocoa_Seed_DisplayName", "可可種子"
"FruitTree!Coconut_Seed_Description", "播下種子就會長出椰子。"
"FruitTree!Coconut_Seed_DisplayName", "椰子種子"
"FruitTree!Gooseberry_Seed_Description", "播下種子就會長出醋栗。"
"FruitTree!Gooseberry_Seed_DisplayName", "醋栗種子"
"FruitTree!Lemon_Seed_Description", "播下種子就會長出檸檬。"
"FruitTree!Lemon_Seed_DisplayName", "檸檬種子"
"FruitTree!Lime_Seed_Description", "播下種子就會長出萊姆。"
"FruitTree!Lime_Seed_DisplayName", "萊姆種子"
"FruitTree!Raspberry_Seed_Description", "播下種子就會長出樹莓。"
"FruitTree!Raspberry_Seed_DisplayName", "樹莓種子"
"FruitTree!Strawberry_Seed_Description", "播下種子就會長出草莓。"
"FruitTree!Strawberry_Seed_DisplayName", "草莓種子"
"Fugu_Description", "河豚受到威脅時會膨脹！"
"Fugu_DisplayName", "河豚"
"FuguSushi_Description", "很危險，但很美味。"
"FuguSushi_DisplayName", "河豚壽司"
"Furniture_Description", "裝家具所有權檔案的袋子。"
"Furniture_DisplayName", "家具袋"
"Futomaki_Description", "放了蔬菜的厚壽司捲。"
"Futomaki_DisplayName", "太捲壽司"
"Garnet_Description", "可開採的紅色礦石。"
"Garnet_DisplayName", "石榴石"
"Garnet_Shiny_Description", "可開採的稀有紅色礦石。"
"Garnet_Shiny_DisplayName", "閃亮石榴石"
"Gazpacho_Description", "一碗蔬菜湯——冰涼的！"
"Gazpacho_DisplayName", "西班牙冷湯"
"Generic!BeastMirror_Description", "能滿足你願望的魔鏡。"
"Generic!NightThorn_Big1_DisplayName", "大暗夜荊棘"
"Generic!NightThorn_Small1_DisplayName", "小暗夜荊棘"
"Generic!NightThorn_Small2_DisplayName", "小暗夜荊棘"
"Generic!NightThorn_Small3_DisplayName", "小暗夜荊棘"
"Generic!TrashPile01_Generic_DisplayName", "垃圾堆"
"Generic!TrashPile02_Generic_DisplayName", "垃圾堆"
"Glass_Description", "這塊玻璃適合做一些有趣的東西。"
"GoldIngot_Description", "不是金幣，但也多多益善。"
"GoldNugget_Description", "想想看，所有的金幣在某些時候都是這樣。"
"GooseBerryPie_Description", "白雪公主拿手的美味派"
"GooseBerryPie_DisplayName", "白雪公主的醋栗派"
"Grain!Canola_Description", "開黃花，種植它可榨油！"
"Grain!Canola_DisplayName", "油菜籽"
"Grain!Corn_Description", "你可以自己種植的高產作物！"
"Grain!Corn_DisplayName", "玉米"
"Grain!Rice_Description", "你可以自己種植的萬能穀物！"
"Grain!Rice_DisplayName", "稻米"
"Grain!Soya_Description", "你可以自己種植的豆類！"
"Grain!Soya_DisplayName", "黃豆"
"Grain!Sugarcane_Description", "你可以自己種植的多年生甜味植物！"
"Grain!Sugarcane_DisplayName", "甘蔗"
"Grain!Wheat_Description", "你可以自己種植的萬能穀物！"
"Grain!Wheat_DisplayName", "小麥"
"GreekPizza_Description", "用橄欖油和許多配料做成的薄披薩。"
"GreekPizza_DisplayName", "希臘披薩"
"GreenSalad_Description", "有各種綠葉蔬菜的沙拉。"
"GreenSalad_DisplayName", "蔬菜沙拉"
"GreyStuff_Description", "試試吧——很美味！"
"GreyStuff_DisplayName", "灰色甜點"
"GrilledAnglerFish_Description", "一塊用煙燻花生烤得恰到好處的鮟鱇魚。"
"GrilledBream_Description", "一道味道濃郁並別具風味的餐食，烹製起來卻不太費事。"
"GrilledCarp_Description", "一塊烤得恰到好處的鯉魚。"
"GrilledCod_Description", "一塊用起司烤得外焦裡嫩的白魚。"
"GrilledEel_Description", "配甜醬的烤鰻魚。"
"GrilledEel_DisplayName", "烤鰻魚"
"GrilledFish_Description", "剛烤好的魚。"
"GrilledFish_DisplayName", "烤魚"
"GrilledFishEntree_Description", "完美的烤魚是這頓飯的主角。"
"GrilledFishEntree_DisplayName", "主菜烤魚"
"GrilledFugu_Description", "一塊精緻的河豚肉，蒸得恰到好處。"
"GrilledKingfish_Description", "烤鯖魚排。如果你在酸甜之間無法取捨，那這道菜將是你的不二之選。"
"GrilledLancet_Description", "用新鮮柳葉刀魚烹製的海鮮米飯。"
"GrilledPerch_Description", "一塊炸得恰到好處的鱸魚。"
"GrilledSalmon_Description", "一塊烤得恰到好處的鮭魚，並淋上了蘋果汁。"
"GrilledSole_Description", "一塊用奶油和簡單又美味的香料慢火煎制的鰨魚。"
"GrilledSwordfish_Description", "一塊現切的劍魚，烹製時加入了大蒜和檸檬。"
"GrilledTilapia_Description", "溫潤甜美的魚肉佐以蔬菜，火候恰到好處。"
"GrilledTrout_Description", "這道菜口味溫和，易於料理，並且非常健康。"
"GrilledTuna_Description", "堅果麵包夾鮪魚，鮪魚烤得恰到好處。"
"GrilledVegetables_Description", "剛出爐的新鮮蔬菜。"
"GrilledVegetables_DisplayName", "烤蔬菜"
"GrilledVeggiesPlatter_Description", "精選烤蔬菜。"
"GrilledVeggiesPlatter_DisplayName", "烤蔬菜拼盤"
"GrilledWallEye_Description", "一塊和蔬菜一起烤製得恰到好處的碧古魚，捲在羊皮紙裡，香氣撲鼻！"
"Gumbo_Description", "能填飽肚子的豐盛燉菜。"
"Gumbo_DisplayName", "秋葵濃湯"
"HardBoiledEggs_Description", "蛋黃全熟。完美的外帶早餐！"
"HardBoiledEggs_DisplayName", "全熟雞蛋"
"HardWood_Description", "一堆硬木材，等著變成別的東西。"
"HeartySalad_Description", "有水果和蔬菜的沙拉。"
"HeartySalad_DisplayName", "豐盛沙拉"
"Herring_Description", "這些銀色的小可愛會成群結隊地旅行。"
"Herring_DisplayName", "鯡魚"
"HorsDoeuvre_Description", "主菜前的開胃菜。"
"HorsDoeuvre_DisplayName", "開胃菜"
"Houseleek!HouseleekOrange_Description", "需水量很少的堅毅花朵。"
"Houseleek!HouseleekOrange_DisplayName", "橙石蓮花"
"Houseleek!HouseleekPink_Description", "需水量很少的堅毅花朵。"
"Houseleek!HouseleekPink_DisplayName", "粉石蓮花"
"Hydrangea!HydrangeaBlue_Description", "需種在特殊土壤裡才會變藍。"
"Hydrangea!HydrangeaBlue_DisplayName", "藍繡球花"
"Hydrangea!HydrangeaPink_Description", "一團粉紅色的花。"
"Hydrangea!HydrangeaPink_DisplayName", "粉繡球花"
"Hydrangea!HydrangeaPurple_Description", "深紫色的小繡球花。"
"Hydrangea!HydrangeaPurple_DisplayName", "紫繡球花"
"Hydrangea!HydrangeaWhiteRed_Description", "剛剛盛開的繡球花。"
"Hydrangea!HydrangeaWhiteRed_DisplayName", "紅白繡球"
"IceCream_Description", "雖然口味比較清淡，但依然很清涼。"
"IceCream_DisplayName", "冰淇淋"
"Impatiens!ImpatiensPurple_Description", "雖然小，卻很明亮。"
"Impatiens!ImpatiensPurple_DisplayName", "紫鳳仙花"
"Impatiens!ImpatiensWhite_Description", "一束引人注目的白花。"
"Impatiens!ImpatiensWhite_DisplayName", "白鳳仙花"
"IronIngot_Description", "一塊鐵錠，等著變成別的東西。"
"IronOre_Description", "可做成鋼錠的生鐵塊。"
"JamWaffles_Description", "鬆軟的鬆餅塗上甜甜的果醬。"
"JamWaffles_DisplayName", "果醬鬆餅"
"KappaMaki_Description", "裹了米飯和海藻的黃瓜捲。"
"KappaMaki_DisplayName", "黃瓜壽司捲"
"KingFish_Description", "可在較溫暖海域發現的鯖魚。"
"KingFish_DisplayName", "鯖王魚"
"LancetFish_Description", "有銀色大背鰭的細長魚類。"
"LancetFish_DisplayName", "柳葉刀魚"
"LancetFishPaella_DisplayName", "柳葉刀魚肉菜飯"
"LargeSeafoodPlatter_Description", "大量精選海鮮。"
"LargeSeafoodPlatter_DisplayName", "大份海鮮拼盤"
"LeekSoup_DisplayName", "韭菜湯"
"LeepSoup_Description", "別擔心——裡面還有馬鈴薯。"
"LemonGarlicSwordfish_DisplayName", "檸檬大蒜劍魚"
"LemonSorbet_DisplayName", "檸檬雪酪"
"Lobster_Description", "比螃蟹大，但也有鋒利的大鉗子！"
"Lobster_DisplayName", "龍蝦"
"LobsterRoll_Description", "把奶油龍蝦肉塞進溫暖的麵包捲裡。"
"LobsterRoll_DisplayName", "龍蝦捲"
"LootPresentForaging_Description", "裝著奇妙禮物的隱藏寶箱！"
"LootPresentForaging_DisplayName", "隱藏獎勵"
"LootPresentForagingOnline_Description", "裝著奇妙禮物的隱藏寶箱！"
"LootPresentForagingOnline_DisplayName", "每日獎勵"
"LootPresentRequests_Description", "對你辛勤工作的獎勵！"
"LootPresentRequests_DisplayName", "獎勵"
"LootPresentWeedMinigame_Description", "裝著奇妙禮物的隱藏寶箱！"
"LootPresentWeedMinigame_DisplayName", "星星獎勵"
"MaguroSushi_Description", "放了薄鮭魚片的熟米飯。"
"MaguroSushi_DisplayName", "鮪魚壽司"
"Maki_Description", "有魚和蔬菜的傳統壽司捲。"
"Maki_DisplayName", "壽司捲"
"MarinatedHerring_Description", "用甜醬稍微醃製過的肉質緊實的魚。"
"MarinatedHerring_DisplayName", "腌鯡魚捲"
"MarshMilkweed!MarshMilkweedBlue_Description", "白色沼澤乳草的一種稀有的藍色變種。"
"MarshMilkweed!MarshMilkweedBlue_DisplayName", "藍色沼澤乳草"
"MarshMilkweed!MarshMilkweedOrange_Description", "長長的莖頂端綻放著小小的橘色花球。"
"MarshMilkweed!MarshMilkweedOrange_DisplayName", "橘色沼澤乳草"
"MarshMilkweed!MarshMilkweedOrangeRed_Description", "長長的莖頂端綻放著小小的橘紅色花球。"
"MarshMilkweed!MarshMilkweedOrangeRed_DisplayName", "橘紅沼澤乳草"
"MarshMilkweed!MarshMilkweedPurple_Description", "長著小簇紫色花瓣的叢生植物。"
"MarshMilkweed!MarshMilkweedPurple_DisplayName", "紫色沼澤乳草"
"MarshMilkweed!MarshMilkweedWhite_Description", "長長的莖頂端綻放著小小的白色花球。"
"MarshMilkweed!MarshMilkweedWhite_DisplayName", "白色沼澤乳草"
"MediteraneenSalad_Description", "橄欖油、菲達起司加綠葉蔬菜！"
