"01_Mickey!Set01!Lighting01_DisplayName", "米奇吊燈"
"03_WallE!Set02!Bed01_DisplayName", "簡陋小床"
"03_WallE!Set02!Desk01_DisplayName", "縫紉桌"
"03_WallE!Set02!Hangers01_DisplayName", "衣服掛架"
"03_WallE!Set02!Lighting01_DisplayName", "罐子檯燈"
"03_WallE!Set02!Planter01_DisplayName", "自然氣息咖啡桌"
"03_WallE!Set02!Seating01_DisplayName", "手提箱椅子"
"03_WallE!Set02!Seating02_DisplayName", "木板椅"
"03_WallE!Set02!Table01_DisplayName", "牆邊桌"
"03_WallE!Set03!Art01_DisplayName", "老式廣告海報"
"03_WallE!Set03!Misc01_DisplayName", "黃色自行車"
"03_WallE!Set03!Misc03_DisplayName", "警示錐"
"03_WallE!Set03!Misc04_DisplayName", "自行車停放架"
"03_WallE!Set03!Seating01_DisplayName", "斑駁長椅"
"03_WallE!Set03!Storage01_DisplayName", "大號冷藏箱"
"03_WallE!Set03!Utility01_DisplayName", "生鏽垃圾桶"
"03_WallE!Set04!Appliance01_DisplayName", "「杯子餐」販售機"
"03_WallE!Set04!Art01_DisplayName", "天氣板"
"03_WallE!Set04!Art02_DisplayName", "休閑條幅"
"03_WallE!Set04!Art03_DisplayName", "運動條幅"
"03_WallE!Set04!Bed01_DisplayName", "超級科技床"
"03_WallE!Set04!Door01_DisplayName", "通道門"
"03_WallE!Set04!Misc01_DisplayName", "管家機器人"
"03_WallE!Set04!Misc02_DisplayName", "杯子餐"
"03_WallE!Set04!Misc03_DisplayName", "自動陽傘"
"03_WallE!Set04!Seating01_DisplayName", "懸浮椅"
"03_WallE!Set04!Seating02_DisplayName", "懸浮沙發"
"03_WallE!Set04!Table01_DisplayName", "遊樂場牌桌"
"03_WallE!Set04!Window01_DisplayName", "宇宙飛船舷窗"
"04_Moana!Set01!Banquet01_DisplayName", "海灘盛宴"
"04_Moana!Set01!Lighting01_DisplayName", "花崗巖火盆"
"04_Moana!Set01!Misc02_DisplayName", "椰子飲料"
"04_Moana!Set01!Pool01_DisplayName", "圓形石頭水池"
"04_Moana!Set01!Seating01_DisplayName", "篷頂沙發"
"04_Moana!Set01!Seating02_DisplayName", "熱帶躺椅"
"04_Moana!Set01!Table01_DisplayName", "圓形邊桌"
"04_Moana!Set02!Bowl01_DisplayName", "熱帶果盤"
"04_Moana!Set02!Foliage01_DisplayName", "裝飾棕櫚葉"
"04_Moana!Set02!Lighting01_DisplayName", "柳編掛燈"
"04_Moana!Set02!Seating01_DisplayName", "柳編圓凳"
"04_Moana!Set02!Utility01_DisplayName", "石製水槽"
"04_Moana!Set02!Window01_DisplayName", "三片式窗戶"
"04_Moana!Set03!BioLumPalm01_DisplayName", "螢光棕櫚樹"
"04_Moana!Set03!CoralCluster01_DisplayName", "螺旋海葵"
"04_Moana!Set03!FanCoral01_DisplayName", "扇柳珊瑚"
"04_Moana!Set03!FernCoral01_DisplayName", "小型蕨珊瑚"
"04_Moana!Set03!FernCoral02_DisplayName", "中型蕨珊瑚"
"04_Moana!Set03!FloralCoral01_DisplayName", "珍珠海葵"
"04_Moana!Set03!GiantClam01_DisplayName", "大硨磲"
"04_Moana!Set03!HeatVent01_DisplayName", "散熱口"
"04_Moana!Set03!RockPillar01_DisplayName", "珊瑚貝殼巖柱"
"04_Moana!Set03!SnailShell01_DisplayName", "海螺殼"
"04_Moana!Set03!StonePartition01_DisplayName", "石刻隔板"
"04_Moana!Set04!Art02_DisplayName", "海島繪畫"
"04_Moana!Set04!Basket01_DisplayName", "手編棕櫚籃"
"04_Moana!Set04!Bed01_DisplayName", "田園地墊"
"04_Moana!Set04!Bed02_DisplayName", "精美地墊"
"04_Moana!Set04!Lighting01_DisplayName", "高大火炬"
"04_Moana!Set04!Misc04_DisplayName", "椰子碗"
"04_Moana!Set04!Shell01_DisplayName", "海螺殼"
"04_Moana!Set04!Tapestry01_DisplayName", "怪獸掛毯"
"04_Moana!Set04!Tapestry02_DisplayName", "惡卡編織掛毯"
"04_Moana!Set04!Utility01_DisplayName", "烹飪火坑"
"04_Moana!Set60!fMaui01_DisplayName", "毛伊頭號粉絲"
"05_Ralph!Set01!AirHockey01_DisplayName", "空氣曲棍球臺"
"05_Ralph!Set01!ArcadeGame01_DisplayName", "投幣遊戲機"
"05_Ralph!Set01!FoodStall01_DisplayName", "食品攤收銀臺"
"05_Ralph!Set01!NeonLights01_DisplayName", "抽像霓虹標誌"
"05_Ralph!Set01!Skeeball01_DisplayName", "遊戲機"
"05_Ralph!Set01!Stool01_DisplayName", "全息吧凳"
"05_Ralph!Set02!Bed01_DisplayName", "糖果床"
"05_Ralph!Set02!Chair01_DisplayName", "冠軍遊戲椅"
"05_Ralph!Set02!Chair02_DisplayName", "甜甜圈椅"
"05_Ralph!Set02!DecorShelf01_DisplayName", "糖果架"
"05_Ralph!Set02!Desk01_DisplayName", "玩家桌"
"05_Ralph!Set02!Desktop01_DisplayName", "臺式電腦"
"05_Ralph!Set02!NightLight01_DisplayName", "小夜燈"
"05_Ralph!Set02!Rug01_DisplayName", "舒適地毯"
"05_Ralph!Set03!Art01_DisplayName", "云妮洛普的照片"
"05_Ralph!Set03!Foliage01_DisplayName", "竹子"
"05_Ralph!Set03!Lighting01_DisplayName", "時尚壁燈"
"05_Ralph!Set03!Misc03_DisplayName", "杯架"
"05_Ralph!Set03!PixelFireplace01_DisplayName", "獨立式壁爐"
"05_Ralph!Set03!Seating01_DisplayName", "簡約矮沙發"
"05_Ralph!Set03!Seating02_DisplayName", "櫃檯凳"
"05_Ralph!Set03!Shelving01_DisplayName", "置物臺"
"05_Ralph!Set03!Storage01_DisplayName", "飲品櫃"
"05_Ralph!Set03!Table01_DisplayName", "L型櫃檯"
"05_Ralph!Set03!TallFountain01_DisplayName", "室內垂直噴泉"
"05_Ralph!Set03!Window01_DisplayName", "畫素窗"
"05_Ralph!Set04!Armchair01_DisplayName", "休閑椅"
"05_Ralph!Set04!Awards01_DisplayName", "超讚線上獎勵"
"05_Ralph!Set04!Chair01_DisplayName", "高檔辦公椅"
"05_Ralph!Set04!Chandelier01_DisplayName", "抽像吊燈"
"05_Ralph!Set04!CoffeeTable01_DisplayName", "幾何形咖啡桌"
"05_Ralph!Set04!Desk01_DisplayName", "參謀桌"
"05_Ralph!Set04!Desktop01_DisplayName", "虛擬機器"
"05_Ralph!Set04!Mirror01_DisplayName", "八角形鏡子"
"05_Ralph!Set04!Sidetable01_DisplayName", "八角形邊桌"
"05_Ralph!Set04!Sofa01_DisplayName", "曲線沙發"
"05_Ralph!Set04!Table01_DisplayName", "長邊桌"
"05_Ralph!Setless!SweetRug01!color01_DisplayName", "粉色糖果地毯"
"05_Ralph!Setless!SweetRug01!color02_DisplayName", "藍綠色糖果地毯"
"06_Ratatouille!Set01!Window01_DisplayName", "橢圓窗戶"
"06_Ratatouille!Set02!Appliance01_DisplayName", "灶具與油煙機"
"06_Ratatouille!Set02!Art01_DisplayName", "水果貼畫"
"06_Ratatouille!Set02!Art02_DisplayName", "起司貼畫"
"06_Ratatouille!Set02!Misc01_DisplayName", "普羅旺斯香草"
"06_Ratatouille!Set02!Misc02_DisplayName", "盤子掛架"
"06_Ratatouille!Set02!Table01_DisplayName", "瓷磚檯面櫃檯"
"06_Ratatouille!Set02!Table02_DisplayName", "瓷磚檯面轉角櫃"
"06_Ratatouille!Set02!Table03_DisplayName", "瓷磚檯面矮櫃"
"06_Ratatouille!Set02!Utility01_DisplayName", "盥洗盆和磚牆"
"06_Ratatouille!Set03!Counter02_DisplayName", "移動置物籃"
"06_Ratatouille!Set03!Light01_DisplayName", "簡約壁燈"
"06_Ratatouille!Set03!Light02_DisplayName", "簡約檯燈"
"06_Ratatouille!Set03!Light03_DisplayName", "簡約吊燈"
"06_Ratatouille!Set03!Misc01_DisplayName", "餐具"
"06_Ratatouille!Set03!Pot01_DisplayName", "大桶"
"06_Ratatouille!Set03!Seating01_DisplayName", "軟墊餐椅"
"06_Ratatouille!Set03!Table01_DisplayName", "圓形餐桌"
"06_Ratatouille!Set03!Table02_DisplayName", "小圓餐桌"
"06_Ratatouille!Set04!HotPlate01_DisplayName", "輕便電爐"
"06_Ratatouille!Set04!KitchenShelf01_DisplayName", "廚房架"
"06_Ratatouille!Set04!OldCouch01_DisplayName", "松葉花紋沙發"
"06_Ratatouille!Set04!OldFan01_DisplayName", "復古風扇"
"06_Ratatouille!Set04!OldFridge01_DisplayName", "貼滿便條的冰箱"
"06_Ratatouille!Set04!OldPhone01_DisplayName", "旋轉撥號電話"
"06_Ratatouille!Set04!OldSink01_DisplayName", "盥洗盆和鏡子"
"06_Ratatouille!Set04!OldTV01_DisplayName", "老式電視"
"06_Ratatouille!Set04!ParisWindow01_DisplayName", "巴黎之窗"
"06_Ratatouille!Set04!Radiator01_DisplayName", "散熱器"
"06_Ratatouille!Set04!Tableware01_DisplayName", "基本餐具"
"06_Ratatouille!Set60!fRemy01_DisplayName", "小米的"最佳廚師"貨架"
"06_Ratatouille!Setless!MetalCounter01_DisplayName", "金屬廚房櫃檯"
"07_Cinderella!Set01!Bed01_DisplayName", "水晶鞋床"
"07_Cinderella!Set01!Lamp01_DisplayName", "南瓜檯燈"
"07_Cinderella!Set01!NightTable01_DisplayName", "迷人床頭櫃"
"07_Cinderella!Set01!Ottoman01_DisplayName", "南瓜擱腳凳"
"07_Cinderella!Set01!Vanity01_DisplayName", "老鼠梳妝鏡"
"07_Cinderella!Set01!Wardrobe01_DisplayName", "彩繪衣櫃"
"07_Cinderella!Set02!CraftPinboard01_DisplayName", "製作插針板"
"07_Cinderella!Set02!FabricShelf01_DisplayName", "織物櫃"
"07_Cinderella!Set02!Mannequin01_DisplayName", "服裝模特"
"07_Cinderella!Set02!SewingDesk01_DisplayName", "手工桌"
"07_Cinderella!Set02!SewingMach01_DisplayName", "縫紉機"
"07_Cinderella!Set02!SpoolStool01_DisplayName", "線軸凳"
"07_Cinderella!Set02!VelvetCarpet01_DisplayName", "絲絨毯"
"07_Cinderella!Set03!Bookcase01_DisplayName", "書架"
"07_Cinderella!Set03!CurtainedWindow01_DisplayName", "帶緞簾的窗戶"
"07_Cinderella!Set03!GildedMirror01_DisplayName", "鍍夢之鏡"
"07_Cinderella!Set03!GrandPiano01!color01_DisplayName", "珍珠三角鋼琴"
"07_Cinderella!Set03!MarbleCoffeeTable01_DisplayName", "大理石咖啡桌"
"07_Cinderella!Set03!MarbleFireplace01_DisplayName", "大理石壁爐"
"07_Cinderella!Set03!MarbleSideTable01_DisplayName", "大理石邊桌"
"07_Cinderella!Set03!PianoBench01!color01_DisplayName", "珍珠鋼琴凳"
"07_Cinderella!Set03!TuftedArmchair01_DisplayName", "植絨單人沙發"
"07_Cinderella!Set03!TuftedChaise01_DisplayName", "植絨躺椅"
"07_Cinderella!Set03!TuftedCouch01_DisplayName", "植絨沙發"
"07_Cinderella!Set04!CastlePortrait01_DisplayName", "城堡畫"
"07_Cinderella!Set04!LargeClock01_DisplayName", "正點鐘"
"07_Cinderella!Set04!RoyalBanner01_DisplayName", "皇家旗幟"
"07_Cinderella!Set04!RoyalCandelabra01_DisplayName", "舞廳燭臺"
"07_Cinderella!Set04!RoyalCarpet01_DisplayName", "毯子"
"07_Cinderella!Set04!RoyalChair01_DisplayName", "寶座"
"07_Cinderella!Set04!RoyalChandelier01_DisplayName", "華麗吊燈"
"07_Cinderella!Set04!RoyalColumn01_DisplayName", "大理石柱"
"07_Cinderella!Set04!RoyalDesk01_DisplayName", "豪華桌子"
"07_Cinderella!Set04!RoyalGrandPiano01_DisplayName", "皇家三角鋼琴"
"07_Cinderella!Set04!RoyalPianoBench01_DisplayName", "皇家鋼琴凳"
"07_Cinderella!Set04!RoyalSideTable01_DisplayName", "豪華牆邊桌"
"07_Cinderella!Set04!RoyalWindow01!color01_DisplayName", "天藍和金色拱形窗戶"
"07_Cinderella!Set04!RoyalWindow01!color02_DisplayName", "金色拱形窗戶"
"08_MonsterInc!Set01!FunkyBath01_DisplayName", "舊浴缸"
"08_MonsterInc!Set01!FunkyDivider01_DisplayName", "房間屏風"
"08_MonsterInc!Set01!FunkyMirror01_DisplayName", "矩形鏡"
"08_MonsterInc!Set01!FunkySink01_DisplayName", "舊時髦洗臉盆"
"08_MonsterInc!Set01!FunkyStorage01_DisplayName", "時髦儲物櫃"
"08_MonsterInc!Set01!FunkyToilet01_DisplayName", "時髦馬桶"
"08_MonsterInc!Set01!FunkyVenusTrap01_DisplayName", "捕蠅草"
"08_MonsterInc!Set02!DormBed01_DisplayName", "書架床"
"08_MonsterInc!Set02!DormBookshelf01_DisplayName", "好學書架"
"08_MonsterInc!Set02!DormChair01_DisplayName", "辦公椅"
"08_MonsterInc!Set02!DormCouch01_DisplayName", "皮沙發"
"08_MonsterInc!Set02!DormDesk01_DisplayName", "學習桌"
"08_MonsterInc!Set02!DormPlaque01_DisplayName", "黃金徽記"
"08_MonsterInc!Set02!DormTable01_DisplayName", "黃金眼咖啡桌"
"08_MonsterInc!Set02!DormWindow01_DisplayName", "宿舍窗戶"
"08_MonsterInc!Set04!Door01_DisplayName", "門"
"08_MonsterInc!Set04!Electronic02_DisplayName", "恐怖揚聲器"
"08_MonsterInc!Set04!Electronic03_DisplayName", "復古電視"
"08_MonsterInc!Set04!Lightning01_DisplayName", "怪異檯燈"
"08_MonsterInc!Set04!Lightning02_DisplayName", "工業樹燈"
"08_MonsterInc!Set04!Lightning03_DisplayName", "雙頭檯燈"
"08_MonsterInc!Set04!Misc01_DisplayName", "大眼仔毛絨玩具"
"08_MonsterInc!Set04!Rug01_DisplayName", "蠕蟲地毯"
"08_MonsterInc!Set04!Seating01_DisplayName", "毛怪的舒服椅子"
"08_MonsterInc!Set04!Seating02_DisplayName", "大眼仔的小凳"
"08_MonsterInc!Set04!Utility01_DisplayName", "磚塊壁爐"
"09_Frozen!Set01!SaunaBasket01!color01_DisplayName", "雲杉盥洗用品籃"
"09_Frozen!Set01!SaunaBasket01!color02_DisplayName", "樺木盥洗用品籃"
"09_Frozen!Set01!SaunaBench01!color01_DisplayName", "雲杉L形長椅"
"09_Frozen!Set01!SaunaBench01!color02_DisplayName", "樺木L形長椅"
"09_Frozen!Set01!SaunaBucket01!color01_DisplayName", "雲杉水桶"
"09_Frozen!Set01!SaunaBucket01!color02_DisplayName", "樺木水桶"
"09_Frozen!Set01!SaunaRobe01!color01_DisplayName", "雲杉衣架"
"09_Frozen!Set01!SaunaRobe01!color02_DisplayName", "藍色衣架"
"09_Frozen!Set01!SaunaRocks01!color01_DisplayName", "古銅色熱蒸汽巖"
"09_Frozen!Set01!SaunaRocks01!color02_DisplayName", "金色熱蒸汽巖"
"09_Frozen!Set01!SaunaShelf01!color01_DisplayName", "雲杉衣櫃"
"09_Frozen!Set01!SaunaShelf01!color02_DisplayName", "藍色衣櫃"
"09_Frozen!Set01!SaunaTub01!color01_DisplayName", "雲杉浴盆"
"09_Frozen!Set01!SaunaTub01!color02_DisplayName", "樺樹浴盆"
"09_Frozen!Set01!SaunaWindow01!color01_DisplayName", "面朝山的雲杉窗"
"09_Frozen!Set01!SaunaWindow01!color02_DisplayName", "面朝山的綠色窗"
"09_Frozen!Set02!RusticCabinet01_DisplayName", "印花櫥櫃"
"09_Frozen!Set02!RusticCabinet02_DisplayName", "印花角櫃"
"09_Frozen!Set02!RusticCounter01_DisplayName", "印花櫃檯"
"09_Frozen!Set02!RusticCounter02_DisplayName", "大印花角櫃"
"09_Frozen!Set02!RusticCupboard01_DisplayName", "彩色餐櫃"
"09_Frozen!Set02!RusticCupRack01_DisplayName", "杯子徽章架"
"09_Frozen!Set02!RusticFurnace01_DisplayName", "古董爐"
"09_Frozen!Set02!RusticPlates01_DisplayName", "裝飾盤子"
"09_Frozen!Set02!RusticStove01_DisplayName", "老爐子"
"09_Frozen!Set03!Banner01_DisplayName", "旗幟"
"09_Frozen!Set03!Bed01_DisplayName", "四柱床"
"09_Frozen!Set03!Chair01_DisplayName", "華麗餐椅"
"09_Frozen!Set03!Chandelier01_DisplayName", "吊燈"
"09_Frozen!Set03!Clock01_DisplayName", "落地鐘"
"09_Frozen!Set03!Door01_DisplayName", "印花雙開門"
"09_Frozen!Set03!Fireplace01_DisplayName", "頂飾壁爐"
"09_Frozen!Set03!Painting01_DisplayName", "鞦韆畫作"
"09_Frozen!Set03!Painting02_DisplayName", "華麗畫作"
"09_Frozen!Set03!Sofa01_DisplayName", "華麗沙發"
"09_Frozen!Set03!Table01_DisplayName", "長餐桌"
"09_Frozen!Set03!Window01_DisplayName", "三角形彩色玻璃窗"
"09_Frozen!Set04!IceBed01_DisplayName", "冰雪床"
"09_Frozen!Set04!IceChair01_DisplayName", "冰雪椅子"
"09_Frozen!Set04!IceChandelier01_DisplayName", "冰霜吊燈"
"09_Frozen!Set04!IceCouch01_DisplayName", "冰雪沙發"
"09_Frozen!Set04!IceDoor01_DisplayName", "冰霜門"
"09_Frozen!Set04!IceFountain01_DisplayName", "冰霜噴泉"
"09_Frozen!Set04!IcePillar01_DisplayName", "柱子"
"09_Frozen!Set04!IceTable01_DisplayName", "冰霜餐桌"
"09_Frozen!Set04!IceTable02_DisplayName", "方形咖啡桌"
"09_Frozen!Set04!IceThrone01_DisplayName", "冰霜王座"
"09_Frozen!Set60!fKristoff01_DisplayName", "克里斯托夫的雪橇"
"09_Frozen!Setless!AnnaPicnic01_DisplayName", "安娜的野餐裝備"
"09_Frozen!Setless!CocoaStand01_DisplayName", "熱巧克力攤"
"09_Frozen!Setless!FrozenWindow01_DisplayName", "冰霜窗戶"
"09_Frozen!Setless!LibraryBookshelf01!color01_DisplayName", "鈴鐺皇家書架"
"09_Frozen!Setless!LibraryBookshelf01!color02_DisplayName", "綠植皇家書架"
