"Village!ToyStory!Woody!VLG_Wood_020_Any_CompletedRequestDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_020_Group06_StoryDescription", "修復旋轉木馬後，還要解決燈的問題。你決定找瓦力幫忙。"
"Village!ToyStory!Woody!VLG_Wood_020_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Woody!VLG_Wood_020_Group07_Step07_Possess05_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group07_Step07_Possess06_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group07_Step07_StepDescription", "在瓦力的王國找到以下材料："
"Village!ToyStory!Woody!VLG_Wood_020_Group07_StoryDescription", "小機器人讓你為旋轉木馬尋找一個新的保險絲盒。"
"Village!ToyStory!Woody!VLG_Wood_020_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Woody!VLG_Wood_020_Group08_Step08_Possess07_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group08_Step08_Possess08_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group08_Step08_Possess09_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group08_Step08_StepDescription", "收集製作保險絲盒的所需其他材料："
"Village!ToyStory!Woody!VLG_Wood_020_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Woody!VLG_Wood_020_Group09_Step09_CraftItem02_StepDescription", "製作<ActivityItem>保險絲盒</ActivityItem>"
"Village!ToyStory!Woody!VLG_Wood_020_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!ToyStory!Woody!VLG_Wood_020_Group10_Step10_ReadyDescription", "把<ActivityItem>保險絲盒</ActivityItem>帶給胡迪"
"Village!ToyStory!Woody!VLG_Wood_020_Group10_Step10_StepDescription", "確保你的物品欄中有<ActivityItem>保險絲盒</ActivityItem>"
"Village!ToyStory!Woody!VLG_Wood_020_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!ToyStory!Woody!VLG_Wood_020_Group11_Step11_FollowCharacter02_StepDescription", "跟隨胡迪前往旋轉木馬"
"Village!ToyStory!Woody!VLG_Wood_020_Group11_Step11_FollowCharacter02_TalkToDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_020_Group11_StoryDescription", "按照瓦力的<ActivityItem>圖紙</ActivityItem>，你製作了一個<ActivityItem>保險絲盒</ActivityItem>。你和胡迪現在準備讓旋轉木馬再次亮起來。"
"Village!ToyStory!Woody!VLG_Wood_020_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Woody!VLG_Wood_020_Group12_Step12_VisitArea01_StepDescription", "前往旋轉木馬評定損傷"
"Village!ToyStory!Woody!VLG_Wood_020_Group12_StoryDescription", "胡迪打開旋轉木馬的燈時出了些問題。你需要弄清楚是怎麼回事。"
"Village!ToyStory!Woody!VLG_Wood_020_Group13_Step13_TalkToCharacter03_StepDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_020_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Woody!VLG_Wood_020_Group14_Step14_BringItem03_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group14_Step14_BringItem04_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group14_Step14_BringItem05_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_020_Group14_Step14_ReadyDescription", "把所有的東西都交給胡迪。"
"Village!ToyStory!Woody!VLG_Wood_020_Group14_Step14_StepDescription", "從旋轉木馬收集所有物品"
"Village!ToyStory!Woody!VLG_Wood_020_Group14_StoryDescription", "電涌破壞了抓娃娃機，一些外星人玩具散落在旋轉木馬附近。胡迪讓你幫忙把它們撿起來。"
"Village!ToyStory!Woody!VLG_Wood_020_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
