"Village!ToyStory!Woody!VLG_Wood_010_Any_CompletedRequestDescription", "回去找胡迪"
"Village!ToyStory!Woody!VLG_Wood_010_Group06_Step06_BringItem02_StepDescription", "{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_010_Group06_Step06_ReadyDescription", "把食物交給小米"
"Village!ToyStory!Woody!VLG_Wood_010_Group06_Step06_StepDescription", "確保你的物品欄裡有以下食物："
"Village!ToyStory!Woody!VLG_Wood_010_Group07_Step07_TalkToCharacter04_StepDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_010_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我們要去哪裡？"
"Village!ToyStory!Woody!VLG_Wood_010_Group08_Step08_FollowCharacter01_StepDescription", "跟著胡迪前往炫麗海灘"
"Village!ToyStory!Woody!VLG_Wood_010_Group08_Step08_FollowCharacter01_TalkToDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_010_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!ToyStory!Woody!VLG_Wood_010_Group09_Step09_StepDescription", "捕捉新鮮的{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_010_Group09_Step10_StepDescription", "收集{ItemName}"
"Village!ToyStory!Woody!VLG_Wood_010_Group09_StoryDescription", "和小米一起解決問題後，胡迪解釋說，他想為高飛準備一些食材，但卻找不到能安全食用的。你決定幫助他。"
"Village!ToyStory!Woody!VLG_Wood_010_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你需要什麼？"
"Village!ToyStory!Woody!VLG_Wood_010_Group10_Step11_ReadyDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_010_Group10_Step11_StepDescription", "確保你的物品欄裡有高飛需要的食材"
"Village!ToyStory!Woody!VLG_Wood_010_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該去找誰？"
"Village!ToyStory!Woody!VLG_Wood_010_Group11_Step12_ReadyDescription", "把食材帶給高飛"
"Village!ToyStory!Woody!VLG_Wood_010_Group11_Step12_StepDescription", "確保你的物品欄裡有高飛的晚餐需要的食材"
"Village!ToyStory!Woody!VLG_Wood_010_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Woody!VLG_Wood_010_Group12_Step13_FollowCharacter02_StepDescription", "在旋轉木馬處與胡迪見面"
"Village!ToyStory!Woody!VLG_Wood_010_Group12_Step13_FollowCharacter02_TalkToDescription", "和胡迪交談"
"Village!ToyStory!Woody!VLG_Wood_010_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來怎麼做呢？"
"Village!ToyStory!Woody!VLG_Wood_010_Group13_StepDescription", "清理旋轉木馬裡的<ActivityItem>垃圾</ActivityItem>"
"Village!ToyStory!Woody!VLG_Wood_010_Group13_StoryDescription", "把食材交給高飛後，你去旋轉木馬那裡尋找胡迪。他說他想為村莊做一些事情，你覺得旋轉木馬是個不錯的開始。"
"Village!ToyStory!Woody!VLG_Wood_010_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我能做些什麼？"
"Village!ToyStory!Woody!VLG_Wood_010_Group14_Step15_ConsumeItem01_StepDescription", "調查旋轉木馬處的回憶"
"Village!ToyStory!Woody!VLG_Wood_010_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
