"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Any_CompletedRequestDescription", "和小米談談，瞭解他對村莊的第一印象。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group14_Step14_Possess02_StepDescription", "在小米的廚房裡找到烹飪書"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group18_Step18_TalkToCharacter03_StepDescription", "小米想跟你聊聊。去見他吧。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group19_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>評論家點了什麼菜？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group19_Step19_FillKeyhole03_StepDescription", "為美食評論家做一份<ActivityItem>法式雜菜燴</ActivityItem>。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group19_StoryDescription", "小米對你的技藝讚不絕口，他讓你為來到餐廳的評論家做菜。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group20_StepDescription", "和小米交談。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group21_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你來村子裡需要什麼？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group21_Step21_StepDescription", "在村莊裡放置小米小屋"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group21_StepDescription", "(按{input_catalog}進入家具頁面並放置小屋)"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group22_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>你來村子裡需要什麼？"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group22_Step22_StepDescription", "點選史高治標識來支付小米小屋的建築費"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group22_StepDescription", "小米需要一個臨時住處。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group22_StoryDescription", "要建一個適合小廚師居住的小屋，需要付費給史高治建築公司。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group23_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我準備好迎接你來村莊啦。"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group23_Step23_UnlockCharacter01_StepDescription", "該迎接小米來村莊了"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group24_Step24_TalkToCharacter05_StepDescription", "讓小米看看你的成果"
"Realm!Ratatouille!Remy!RLM_RatatouilleIP_Remy_010_Group25_Step25_TalkToCharacter06_StepDescription", "探索小米的王國"
