"Player_007_f", "也許要是我們清除掉暗夜荊棘……"
"Merlin_013_f", "這個星谷裡所有奇蹟、魔法和友誼都來源於我們的<Lore>谷主</Lore>。他守護著村莊，保護我們不受黑魔法的傷害。"
"Merlin_064_f", "但有一天，他開始變得……不對勁了。不過我現在幾乎記不起來了。"
"Merlin_065_f", "接著，我們的谷主就那樣……消失了。"
"Merlin_019_f", "已經……不知道多少年了，因為「大遺忘」的緣故，我完全忘記了時間。"
"Player_002_f", "你們的谷主就這麼……離開了？"
"Player_002_choice_000_f", "聽上去不是什麼優秀的谷主呢。"
"Player_002_choice_001_f", "一定是有什麼原因吧。"
"Player_002_choice_002_f", "也許是「大遺忘」讓谷主離開的？"
"Merlin_066_f", "好的谷主應該照顧好村莊和村民們，而不是就這麼跑了。"
"Merlin_067_f", "我們的谷主既善良又高尚。他離開一定有什麼迫不得已的理由。不過我想不起來是什麼了……"
"Merlin_068_f", "或許你們的谷主也是身不由己，別無選擇。"
"Merlin_070_f", "這樣就說得通了。沒錯，「大遺忘」一定跟我們的谷主有什麼關聯……要是我還能想得起來就好了……"
"Merlin_016_f", "要確定你就是那個註定能把夢幻星谷從「大遺忘」中解救出來的人，只有唯一一個辦法。"
"Merlin_024_f", "這將是個對你的魔法的小小考驗……"
"Merlin_028_f", "自從「大遺忘」之後，這座<Lore>被暗夜荊棘擋住的屋子</Lore>總是讓我傷透腦筋。"
"Merlin_018_f", "來吧，我們一起去調查一番。"
"Merlin_009_f", "當然是爲了夢幻星谷的歡聲笑語！"
"Merlin_010_f", "真是個好問題。畢竟要想解決問題，就得先理解問題！"
"Merlin_051_f", "我只是閉上眼睛，迷迷糊糊的……突然之間，就身在這裡了！"
"Merlin_004_f", "這和魔法沒什麼關係。"
"Merlin_007_f", "恰恰相反，這一切都和魔法有關！"
"Merlin_049_f", "梅林，你最好當心點。我也對魔法非常在行！"
"Merlin_050_f", "你可不是這裡唯一的占卜師、預言家、魔術師和鍊金師！"
"Merlin_053_f", "啊哈！我就知道！"
"Merlin_040_f", "可不是什麼普通的巫師！"
"Merlin_023_f", "我是梅林！"
"Merlin_042_f", "「古怪的老頭」？！說誰呢，我……我可是梅林，我會讓你明白的！我是個巫師！非常非常強的巫師。"
"Merlin_043_f", "而且還不止如此！"
"Merlin_035_f", "這地方不危險吧？"
"Merlin_030_f", "沒錯，與過去相比，星谷現在可以算是滿目瘡痍。但你沒什麼好害怕的。"
"Merlin_031_f", "很久之前，你可找不出另一個像這樣充滿了魔法和奇蹟的王國。"
"Merlin_036_f", "感覺這裡的秘密多到我永遠也探索不完！"
"Merlin_032_f", "沒錯，星谷裡到處都是秘密。"
"Merlin_033_f", "但曾經這裡也充滿了魔法和奇蹟。"
"Merlin_021_f", "嗯。這是個相當現實的問題。我稍後再好好考慮。"
"Merlin_026_f", "噢，你一定很困惑吧。"
