"Village!LiloStitch!Stitch!VLG_Stit_040_Any_CompletedRequestDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group04_Step06_StepDescription", "收集<ActivityItem>照片背景牆</ActivityItem>的材料："
"Village!LiloStitch!Stitch!VLG_Stit_040_Group04_StoryDescription", "史高治給了你一些關於管理樂隊的建議。你需要為拍照製作一些背景牆。"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group05_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group05_Step07_CraftItem01_StepDescription", "製作<ActivityItem>照片背景牆</ActivityItem>"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group06_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group06_Step08_BringItem01_StepDescription", "確保你的物品欄裡有<ActivityItem>照片背景牆</ActivityItem>"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group06_Step08_ReadyDescription", "把<ActivityItem>照片背景牆</ActivityItem>交給史高治"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group07_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group07_Step09_TalkToCharacter11_StepDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group08_Step10_VisitArea01_StepDescription", "帶史迪奇去夢幻城堡"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group09_Step11_VisitArea02_StepDescription", "去城堡三樓，史高治在那裡佈置了照片背景牆。"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group10_Step12_TakePicture01_StepDescription", "在<ActivityItem>照片背景牆</ActivityItem>前為史迪奇拍3張照片"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group11_Step13_StepDescription", "你的照片看起來很棒！現在該來看看音響裝置……"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group11_Step13_TalkToCharacter12_StepDescription", "跟史高治交談"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group11_StoryDescription", "史迪奇在夢幻城堡的拍照中拍出了不錯的照片。它們將起到很好的宣傳效果！"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group12_Step14_Conditional01_StepDescription", "等到明天和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group13_Step15_TalkToCharacter13_StepDescription", "和史迪奇交談"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group14_Step16_TalkToCharacter14_StepDescription", "跟史高治交談"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group15_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group15_Step17_Decorate01_StepDescription", "把<ActivityItem>音響裝置</ActivityItem>放到炫麗海灘"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group15_StoryDescription", "史高治給了你一些舞臺裝置，幫忙完成表演。音樂會的時間快到了。"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group16_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我應該怎麼做？"
"Village!LiloStitch!Stitch!VLG_Stit_040_Group16_Step18_Party01_StepDescription", "帶著<ActivityItem>音響裝置</ActivityItem>參加派對"
"Village!LiloStitch!Stitch!VLG_Stit_040_StartRequestButton", "<smallcaps>{title}</smallcaps><br>開始任務"
