"Story!MRQS100_TakingCareOfThings_Any_CompletedRequestDescription", "和刀疤交談"
"Story!MRQS100_TakingCareOfThings_Group07_Step08_VisitArea07_StepDescription", "返回夢幻星谷"
"Story!MRQS100_TakingCareOfThings_Group07_StoryDescription", "離開維塔利礦區時，你看到了遺忘族拿著什麼東西。你追著它們穿過了黑暗之門，找到了培育寶珠。但你發現遺忘族和你很像……"
"Story!MRQS100_TakingCareOfThings_Group08_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group08_StepDescription", "在烹飪臺準備{ItemName}"
"Story!MRQS100_TakingCareOfThings_Group09_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group09_Step09_FillKeyhole02_StepDescription", "把<ActivityItem>多泡麥根沙士</ActivityItem>和<ActivityItem>跳跳糖</ActivityItem>放進桶裡"
"Story!MRQS100_TakingCareOfThings_Group09_StepDescription", "清理礦區中阻斷水源的暗夜荊棘根系"
"Story!MRQS100_TakingCareOfThings_Group09_StoryDescription", "在維塔利礦區中，你發現暗夜荊棘的根阻斷了河流。你要準備氣泡很多的混合物來清理暗夜荊棘。"
"Story!MRQS100_TakingCareOfThings_Group10_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group10_StepDescription", "在維塔利礦區搜索採礦營地來獲取材料"
"Story!MRQS100_TakingCareOfThings_Group11_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group11_Step11_VisitArea04_StepDescription", "前往日照高原檢視河流是否已經恢復"
"Story!MRQS100_TakingCareOfThings_Group12_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group12_Step12_VisitArea05_StepDescription", "跟隨遺忘族穿過大象墓地附近的黑暗傳送門"
"Story!MRQS100_TakingCareOfThings_Group13_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我要做什麼來著？"
"Story!MRQS100_TakingCareOfThings_Group13_Step13_Possess01_StepDescription", "撿起它。"
"Story!MRQS100_TakingCareOfThings_Group13_Step13_StepDescription", "遺忘族掉了什麼東西！"
"Story!MRQS100_TakingCareOfThings_Group14_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group14_StepDescription", "把你找到的東西帶給梅林"
"Story!MRQS100_TakingCareOfThings_Group15_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group15_Step15_Possess02_StepDescription", "在維塔利礦區的岩石中開採{ItemName}"
"Story!MRQS100_TakingCareOfThings_Group15_Step15_Possess03_StepDescription", "{ItemName}"
"Story!MRQS100_TakingCareOfThings_Group15_Step15_Possess04_StepDescription", "{ItemName}"
"Story!MRQS100_TakingCareOfThings_Group15_Step15_StepDescription", "收集以下物品來製作<ActivityItem>神奇生長液</ActivityItem>："
"Story!MRQS100_TakingCareOfThings_Group16_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我接下來要做什麼？"
"Story!MRQS100_TakingCareOfThings_Group16_Step16_CraftItem02_StepDescription", "製作{ItemName}"
"Story!MRQS100_TakingCareOfThings_Group17_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group17_Step17_ConsumeItem01_StepDescription", "使用你背包裡的{ItemName}升級你的灑水壺"
"Story!MRQS100_TakingCareOfThings_Group18_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>現在該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group18_Step18_GardeningPlant01_StepDescription", "把{ItemName}種在日照高原的柱子旁"
"Story!MRQS100_TakingCareOfThings_Group19_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group19_Step19_MakeGarden02_StepDescription", "照料<ActivityItem>培育寶珠</ActivityItem>直至它完全恢復（該任務可能需要幾天時間！）"
"Story!MRQS100_TakingCareOfThings_Group20_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>接下來做什麼？"
"Story!MRQS100_TakingCareOfThings_Group20_Step20_VisitArea06_StepDescription", "檢視日照高原的<ActivityItem>培育寶珠</ActivityItem>"
"Story!MRQS100_TakingCareOfThings_Group21_OngoingRequestButton", "<smallcaps>{title}</smallcaps><br>我該怎麼做？"
"Story!MRQS100_TakingCareOfThings_Group21_Step21_TalkToCharacter03_StepDescription", "告訴梅林你找到了什麼"
